id,alpha,G,G_v,G_sd_v,gt_type,G_sd,time,r,r_sim
1,0.6,3.2,2.4,1.6,Household,2.1,1,0.3,0.130219046993102
1,0.6,3.2,2.4,1.6,Household,2.1,2,0.3,0.130219046993102
1,0.6,3.2,2.4,1.6,Household,2.1,3,0.3,0.130219046993102
1,0.6,3.2,2.4,1.6,Household,2.1,4,0.3,0.130219046993102
1,0.6,3.2,2.4,1.6,Household,2.1,5,0.3,0.130219046993102
1,0.6,3.2,2.4,1.6,Household,2.1,6,0.1,-0.0839348361131804
1,0.6,3.2,2.4,1.6,Household,2.1,7,0.1,-0.0839348361131804
1,0.6,3.2,2.4,1.6,Household,2.1,8,0.1,-0.0839348361131804
1,0.6,3.2,2.4,1.6,Household,2.1,9,0.1,-0.0839348361131804
1,0.6,3.2,2.4,1.6,Household,2.1,10,0.1,-0.0839348361131804
1,0.6,3.2,2.4,1.6,Household,2.1,11,0.095,-0.0892689377016057
1,0.6,3.2,2.4,1.6,Household,2.1,12,0.085,-0.0999340151617793
1,0.6,3.2,2.4,1.6,Household,2.1,13,0.07,-0.115923723377734
1,0.6,3.2,2.4,1.6,Household,2.1,14,0.05,-0.13722830230865
1,0.6,3.2,2.4,1.6,Household,2.1,15,0.025,-0.163834261882474
1,0.6,3.2,2.4,1.6,Household,2.1,16,-0.00499999999999999,-0.195723916742229
1,0.6,3.2,2.4,1.6,Household,2.1,17,-0.04,-0.232874721342206
1,0.6,3.2,2.4,1.6,Household,2.1,18,-0.08,-0.275258325857159
1,0.6,3.2,2.4,1.6,Household,2.1,19,-0.125,-0.322839222811898
1,0.6,3.2,2.4,1.6,Household,2.1,20,-0.175,-0.375572764226054
1,0.6,3.2,2.4,1.6,Household,2.1,21,-0.23,-0.433402158138148
1,0.6,3.2,2.4,1.6,Household,2.1,22,-0.29,-0.496253704507428
1,0.6,3.2,2.4,1.6,Household,2.1,23,-0.355,-0.564028750589015
1,0.6,3.2,2.4,1.6,Household,2.1,24,-0.425,-0.636588882184602
1,0.6,3.2,2.4,1.6,Household,2.1,25,-0.5,-0.71372503575517
1,0.6,3.2,2.4,1.6,Household,2.1,26,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,27,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,28,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,29,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,30,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,31,0,-0.19041187707715
1,0.6,3.2,2.4,1.6,Household,2.1,32,0,-0.19041187707715
1,0.6,3.2,2.4,1.6,Household,2.1,33,0,-0.19041187707715
1,0.6,3.2,2.4,1.6,Household,2.1,34,0,-0.19041187707715
1,0.6,3.2,2.4,1.6,Household,2.1,35,0,-0.19041187707715
1,0.6,3.2,2.4,1.6,Household,2.1,36,-0.1,-0.296418950550476
1,0.6,3.2,2.4,1.6,Household,2.1,37,-0.1,-0.296418950550476
1,0.6,3.2,2.4,1.6,Household,2.1,38,-0.1,-0.296418950550476
1,0.6,3.2,2.4,1.6,Household,2.1,39,-0.1,-0.296418950550476
1,0.6,3.2,2.4,1.6,Household,2.1,40,-0.1,-0.296418950550476
1,0.6,3.2,2.4,1.6,Household,2.1,41,-0.2,-0.40188294385203
1,0.6,3.2,2.4,1.6,Household,2.1,42,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,43,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,44,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,45,0.2,0.0229566719834323
1,0.6,3.2,2.4,1.6,Household,2.1,46,0.2,0.0229566719834323
2,0.6,3.2,2.4,2.1,Household,2.1,1,0.3,0.136674138147334
2,0.6,3.2,2.4,2.1,Household,2.1,2,0.3,0.136674138147334
2,0.6,3.2,2.4,2.1,Household,2.1,3,0.3,0.136674138147334
2,0.6,3.2,2.4,2.1,Household,2.1,4,0.3,0.136674138147334
2,0.6,3.2,2.4,2.1,Household,2.1,5,0.3,0.136674138147334
2,0.6,3.2,2.4,2.1,Household,2.1,6,0.1,-0.0811964095979676
2,0.6,3.2,2.4,2.1,Household,2.1,7,0.1,-0.0811964095979676
2,0.6,3.2,2.4,2.1,Household,2.1,8,0.1,-0.0811964095979676
2,0.6,3.2,2.4,2.1,Household,2.1,9,0.1,-0.0811964095979676
2,0.6,3.2,2.4,2.1,Household,2.1,10,0.1,-0.0811964095979676
2,0.6,3.2,2.4,2.1,Household,2.1,11,0.095,-0.0861696774845593
2,0.6,3.2,2.4,2.1,Household,2.1,12,0.085,-0.0960456441957313
2,0.6,3.2,2.4,2.1,Household,2.1,13,0.07,-0.110682688662327
2,0.6,3.2,2.4,2.1,Household,2.1,14,0.05,-0.129867145975304
2,0.6,3.2,2.4,2.1,Household,2.1,15,0.025,-0.153311751436704
2,0.6,3.2,2.4,2.1,Household,2.1,16,-0.00499999999999999,-0.180653428502315
2,0.6,3.2,2.4,2.1,Household,2.1,17,-0.04,-0.211450278369177
2,0.6,3.2,2.4,2.1,Household,2.1,18,-0.08,-0.24517755545406
2,0.6,3.2,2.4,2.1,Household,2.1,19,-0.125,-0.281222299141249
2,0.6,3.2,2.4,2.1,Household,2.1,20,-0.175,-0.318876105948068
2,0.6,3.2,2.4,2.1,Household,2.1,21,-0.23,-0.357325203728669
2,0.6,3.2,2.4,2.1,Household,2.1,22,-0.29,-0.395636393000701
2,0.6,3.2,2.4,2.1,Household,2.1,23,-0.355,-0.432736224833705
2,0.6,3.2,2.4,2.1,Household,2.1,24,-0.425,-0.467378126575316
2,0.6,3.2,2.4,2.1,Household,2.1,25,-0.5,-0.498085375268653
2,0.6,3.2,2.4,2.1,Household,2.1,26,0.2,0.0231593336950297
2,0.6,3.2,2.4,2.1,Household,2.1,27,0.2,0.0231593336950297
2,0.6,3.2,2.4,2.1,Household,2.1,28,0.2,0.0231593336950297
2,0.6,3.2,2.4,2.1,Household,2.1,29,0.2,0.0231593336950297
2,0.6,3.2,2.4,2.1,Household,2.1,30,0.2,0.0231593336950297
2,0.6,3.2,2.4,2.1,Household,2.1,31,0,-0.176156770484891
2,0.6,3.2,2.4,2.1,Household,2.1,32,0,-0.176156770484891
2,0.6,3.2,2.4,2.1,Household,2.1,33,0,-0.176156770484891
2,0.6,3.2,2.4,2.1,Household,2.1,34,0,-0.176156770484891
2,0.6,3.2,2.4,2.1,Household,2.1,35,0,-0.176156770484891
2,0.6,3.2,2.4,2.1,Household,2.1,36,-0.1,-0.261447332739367
2,0.6,3.2,2.4,2.1,Household,2.1,37,-0.1,-0.261447332739367
2,0.6,3.2,2.4,2.1,Household,2.1,38,-0.1,-0.261447332739367
2,0.6,3.2,2.4,2.1,Household,2.1,39,-0.1,-0.261447332739367
2,0.6,3.2,2.4,2.1,Household,2.1,40,-0.1,-0.261447332739367
