variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,stratification,gt_type,gt_diff,source
gt_mean,3.267777805,3.25906,0.429942730524037,0.44292675,2.5687205,3.9882085,0.999699384565215,3656.93039788743,2459.44414541634,age,household,TRUE,sequence
gt_sd,2.216632085,2.219325,0.285492479322206,0.284407158,1.7458635,2.6866125,1.00069964767736,3004.49622604687,2776.70764924318,age,household,TRUE,sequence
k,0.48720961,0.463997,0.165831316006019,0.1552052397,0.2592718,0.7945269,1.00178653234128,3988.43408427645,2930.28285888476,age,household,TRUE,sequence
voc_gt_mean,3.486496635,3.466145,0.540099557044122,0.51920652,2.662955,4.423272,1.00090192296729,2238.89401614641,2465.94008327099,age,household,TRUE,sequence
voc_gt_sd,2.2894962375,2.239855,0.503319827888645,0.495670245,1.5425595,3.1763185,1.0007958327889,3368.77949419654,2487.63058187542,age,household,TRUE,sequence
k_v,0.4482424491,0.425946,0.159138864219986,0.1500821154,0.22817075,0.7412467,1.00313626453933,1653.03629457426,2513.76748529412,age,household,TRUE,sequence
ta,1.01946167925,1.01211,0.144145936659081,0.1443518664,0.79525895,1.2683975,1.00116846333574,2075.5507384362,2415.89754047805,age,household,TRUE,sequence
ta_sd,0.087871906507,0.0864332,0.031947091012542,0.03106017348,0.039197745,0.1428349,1.00590667728351,1137.27695470121,831.912967579544,age,household,TRUE,sequence
local_ta[1],1.133276618,1.12671,0.162194030160353,0.15767451,0.88234375,1.412374,1.00192076254928,1813.42281978087,2545.77497129114,age,household,TRUE,sequence
local_ta[2],0.9507950365,0.9459425,0.123696630271224,0.1264694865,0.75448775,1.153907,1.00031409085526,2519.5502277208,2525.53391191264,age,household,TRUE,sequence
local_ta[3],0.90685676625,0.9022995,0.122786488013322,0.122774106,0.7133433,1.116869,1.00000048091105,2034.15877852355,2372.23818594727,age,household,TRUE,sequence
local_ta[4],1.084946708,1.078725,0.160795492121691,0.1592260509,0.83814745,1.362066,1.00224213219921,1791.62120654391,2545.02980429805,age,household,TRUE,sequence
sigma,0.0073864904589125,0.006288875,0.00558464454824001,0.005679558906,0.00055507385,0.018125225,1.00069189696849,1852.1439594094,1777.89242204081,age,household,TRUE,sequence
gt_mean,4.6390845,4.632465,0.336650578733039,0.336164724,4.0931315,5.2110415,1.00139284447072,4006.64660974711,2561.32073993814,age,intrinsic,TRUE,sequence
