age_group,date,variable,q5,q20,q50,q80,q95,type,stratification,gt_type,gt_diff,source,region
0-14,2021-12-04,pp_voc_R[29],2.1775155,2.775734,3.638675,4.908272,6.6485055,Posterior prediction,age and region,household,TRUE,sequence,South West
15-29,2021-12-04,pp_voc_R[30],2.2806975,2.860146,3.754605,5.00352,6.828069,Posterior prediction,age and region,household,TRUE,sequence,East of England
15-29,2021-12-04,pp_voc_R[31],1.89759,2.440346,3.31434,4.69726,6.568962,Posterior prediction,age and region,household,TRUE,sequence,London
15-29,2021-12-04,pp_voc_R[32],2.220278,2.735844,3.594335,4.87556,6.704711,Posterior prediction,age and region,household,TRUE,sequence,Midlands
15-29,2021-12-04,pp_voc_R[33],2.08188,2.669382,3.59492,4.926266,6.839354,Posterior prediction,age and region,household,TRUE,sequence,South West
30-44,2021-12-04,pp_voc_R[34],2.170034,2.788102,3.677945,5.001718,6.9177825,Posterior prediction,age and region,household,TRUE,sequence,East of England
30-44,2021-12-04,pp_voc_R[35],2.215109,2.845336,3.745665,5.100998,7.3063445,Posterior prediction,age and region,household,TRUE,sequence,London
30-44,2021-12-04,pp_voc_R[36],2.2566195,2.804334,3.726215,4.975188,6.857259,Posterior prediction,age and region,household,TRUE,sequence,North East and Yorkshire
30-44,2021-12-04,pp_voc_R[37],2.0382535,2.608428,3.482665,4.771478,6.6947235,Posterior prediction,age and region,household,TRUE,sequence,South West
45-59,2021-12-04,pp_voc_R[38],2.166629,2.721166,3.52834,4.815614,6.601471,Posterior prediction,age and region,household,TRUE,sequence,East of England
45-59,2021-12-04,pp_voc_R[39],2.148123,2.737476,3.62674,4.998374,7.0324535,Posterior prediction,age and region,household,TRUE,sequence,London
45-59,2021-12-04,pp_voc_R[40],2.39687,3.06421,4.14542,5.820338,8.308053,Posterior prediction,age and region,household,TRUE,sequence,Midlands
0-14,2021-12-05,pp_voc_R[41],2.3230465,2.944568,3.846975,5.165618,7.1294035,Posterior prediction,age and region,household,TRUE,sequence,London
0-14,2021-12-05,pp_voc_R[42],2.227855,2.833772,3.796475,5.267086,7.2410385,Posterior prediction,age and region,household,TRUE,sequence,South East
0-14,2021-12-05,pp_voc_R[43],2.3018675,2.914366,3.85758,5.19171,7.1134905,Posterior prediction,age and region,household,TRUE,sequence,South West
15-29,2021-12-05,pp_voc_R[44],2.4225375,3.003868,3.889025,5.158118,6.949072,Posterior prediction,age and region,household,TRUE,sequence,East of England
15-29,2021-12-05,pp_voc_R[45],2.326523,2.91831,3.831795,5.124746,6.7321765,Posterior prediction,age and region,household,TRUE,sequence,London
15-29,2021-12-05,pp_voc_R[46],2.351495,2.917506,3.761365,4.9821,6.664262,Posterior prediction,age and region,household,TRUE,sequence,Midlands
15-29,2021-12-05,pp_voc_R[47],2.2647885,2.86654,3.75925,5.129398,7.115955,Posterior prediction,age and region,household,TRUE,sequence,South West
30-44,2021-12-05,pp_voc_R[48],2.3543045,2.952554,3.86977,5.21612,7.1671425,Posterior prediction,age and region,household,TRUE,sequence,East of England
30-44,2021-12-05,pp_voc_R[49],2.3533095,2.927396,3.77868,4.963384,6.6293135,Posterior prediction,age and region,household,TRUE,sequence,London
30-44,2021-12-05,pp_voc_R[50],2.2166525,2.805902,3.717645,5.044292,6.90504,Posterior prediction,age and region,household,TRUE,sequence,North East and Yorkshire
30-44,2021-12-05,pp_voc_R[51],2.2677625,2.886074,3.78127,5.17721,7.0068265,Posterior prediction,age and region,household,TRUE,sequence,South West
45-59,2021-12-05,pp_voc_R[52],2.2496345,2.799334,3.609525,4.801508,6.4997415,Posterior prediction,age and region,household,TRUE,sequence,East of England
45-59,2021-12-05,pp_voc_R[53],2.2206465,2.817908,3.64539,4.828944,6.876301,Posterior prediction,age and region,household,TRUE,sequence,London
45-59,2021-12-05,pp_voc_R[54],2.066286,2.60533,3.48915,4.821554,6.639856,Posterior prediction,age and region,household,TRUE,sequence,Midlands
0-14,2021-12-06,pp_voc_R[55],2.2197035,2.76926,3.662145,4.99066,6.822575,Posterior prediction,age and region,household,TRUE,sequence,East of England
0-14,2021-12-06,pp_voc_R[56],2.297552,2.838134,3.66871,4.901896,6.6708065,Posterior prediction,age and region,household,TRUE,sequence,London
0-14,2021-12-06,pp_voc_R[57],2.1024365,2.668312,3.46361,4.646628,6.257814,Posterior prediction,age and region,household,TRUE,sequence,North West
0-14,2021-12-06,pp_voc_R[58],2.1579085,2.74889,3.68296,5.044534,6.91752,Posterior prediction,age and region,household,TRUE,sequence,South East
0-14,2021-12-06,pp_voc_R[59],2.270948,2.849052,3.745535,4.989656,6.840973,Posterior prediction,age and region,household,TRUE,sequence,South West
15-29,2021-12-06,pp_voc_R[60],2.320345,2.877514,3.72544,4.91948,6.471051,Posterior prediction,age and region,household,TRUE,sequence,East of England
15-29,2021-12-06,pp_voc_R[61],2.263894,2.826076,3.62185,4.819694,6.510645,Posterior prediction,age and region,household,TRUE,sequence,London
15-29,2021-12-06,pp_voc_R[62],2.246675,2.809728,3.615105,4.777568,6.4458265,Posterior prediction,age and region,household,TRUE,sequence,Midlands
15-29,2021-12-06,pp_voc_R[63],2.043525,2.635852,3.528615,4.87561,6.7034865,Posterior prediction,age and region,household,TRUE,sequence,South East
15-29,2021-12-06,pp_voc_R[64],2.222699,2.781328,3.608985,4.847828,6.7003535,Posterior prediction,age and region,household,TRUE,sequence,South West
30-44,2021-12-06,pp_voc_R[65],2.280539,2.855914,3.727655,4.996078,6.8615315,Posterior prediction,age and region,household,TRUE,sequence,East of England
30-44,2021-12-06,pp_voc_R[66],2.301911,2.855344,3.61797,4.736106,6.3021495,Posterior prediction,age and region,household,TRUE,sequence,London
30-44,2021-12-06,pp_voc_R[67],1.9672705,2.519228,3.33694,4.618138,6.5363015,Posterior prediction,age and region,household,TRUE,sequence,Midlands
30-44,2021-12-06,pp_voc_R[68],1.989175,2.501842,3.23241,4.332668,6.0115475,Posterior prediction,age and region,household,TRUE,sequence,North East and Yorkshire
30-44,2021-12-06,pp_voc_R[69],2.052991,2.527828,3.28019,4.421578,6.0458175,Posterior prediction,age and region,household,TRUE,sequence,South West
45-59,2021-12-06,pp_voc_R[70],2.050344,2.549702,3.267215,4.320216,5.758397,Posterior prediction,age and region,household,TRUE,sequence,East of England
45-59,2021-12-06,pp_voc_R[71],2.0508415,2.565618,3.29755,4.437228,5.909933,Posterior prediction,age and region,household,TRUE,sequence,London
45-59,2021-12-06,pp_voc_R[72],1.9005825,2.390866,3.183885,4.348602,6.035477,Posterior prediction,age and region,household,TRUE,sequence,Midlands
45-59,2021-12-06,pp_voc_R[73],2.025999,2.45924,3.124065,4.120734,5.5162255,Posterior prediction,age and region,household,TRUE,sequence,North East and Yorkshire
45-59,2021-12-06,pp_voc_R[74],1.877773,2.384384,3.12054,4.24379,5.95781,Posterior prediction,age and region,household,TRUE,sequence,North West
0-14,2021-12-07,pp_voc_R[75],2.026153,2.548142,3.30809,4.473648,6.0129975,Posterior prediction,age and region,household,TRUE,sequence,East of England
0-14,2021-12-07,pp_voc_R[76],2.0596765,2.559044,3.332995,4.397768,5.8691475,Posterior prediction,age and region,household,TRUE,sequence,London
0-14,2021-12-07,pp_voc_R[77],1.969508,2.43786,3.13768,4.180024,5.670459,Posterior prediction,age and region,household,TRUE,sequence,North West
0-14,2021-12-07,pp_voc_R[78],1.986609,2.530668,3.308345,4.500642,6.2299205,Posterior prediction,age and region,household,TRUE,sequence,South East
0-14,2021-12-07,pp_voc_R[79],2.0937945,2.620498,3.35263,4.47438,6.059682,Posterior prediction,age and region,household,TRUE,sequence,South West
15-29,2021-12-07,pp_voc_R[80],2.1219225,2.6417,3.37069,4.448198,5.902235,Posterior prediction,age and region,household,TRUE,sequence,East of England
15-29,2021-12-07,pp_voc_R[81],2.105559,2.582986,3.299885,4.317612,5.7375805,Posterior prediction,age and region,household,TRUE,sequence,London
15-29,2021-12-07,pp_voc_R[82],2.083219,2.575708,3.29229,4.3262,5.7314195,Posterior prediction,age and region,household,TRUE,sequence,Midlands
