age_group,date,variable,q5,q20,q50,q80,q95,type,stratification,gt_type,gt_diff,source,region
30-44,2021-12-17,pp_voc_R[58],1.156767,1.304122,1.468715,1.657844,1.8651655,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-17,pp_voc_R[59],1.1887505,1.335858,1.509005,1.709326,1.9319265,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-18,pp_voc_R[60],1.0604585,1.228292,1.43858,1.674754,1.9319785,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-18,pp_voc_R[61],0.9662189,1.12314,1.290505,1.489564,1.71012,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-18,pp_voc_R[62],1.1604935,1.300466,1.471775,1.656894,1.8654015,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-18,pp_voc_R[63],1.180047,1.330968,1.494705,1.696318,1.915233,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-19,pp_voc_R[64],1.04856,1.224064,1.418585,1.638608,1.913213,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-19,pp_voc_R[65],0.973108,1.113712,1.285655,1.481916,1.6907325,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-19,pp_voc_R[66],1.1553505,1.295348,1.4619,1.64554,1.846187,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-19,pp_voc_R[67],1.177765,1.32295,1.48851,1.68386,1.896907,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-20,pp_voc_R[68],1.2255995,1.392358,1.59585,1.827464,2.0909475,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-20,pp_voc_R[69],1.1362115,1.300514,1.50469,1.731128,1.9881975,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-20,pp_voc_R[70],1.190886,1.336634,1.50591,1.689984,1.9123445,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-20,pp_voc_R[71],1.1694115,1.320422,1.50767,1.71151,1.9526255,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-21,pp_voc_R[72],1.2211335,1.384366,1.582385,1.81332,2.079552,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-21,pp_voc_R[73],1.125855,1.294544,1.50199,1.733774,2.0050815,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-21,pp_voc_R[74],1.19264,1.339534,1.50429,1.696056,1.897365,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-21,pp_voc_R[75],1.173093,1.324278,1.499715,1.708162,1.949446,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-22,pp_voc_R[76],1.211035,1.38676,1.58795,1.819414,2.0757865,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-22,pp_voc_R[77],1.1314455,1.30733,1.501855,1.733972,1.9885585,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-22,pp_voc_R[78],1.181103,1.334626,1.50404,1.696502,1.902239,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-22,pp_voc_R[79],1.17491,1.326888,1.50238,1.703426,1.9350635,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-23,pp_voc_R[80],1.2138085,1.386856,1.585275,1.830126,2.067202,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-23,pp_voc_R[81],1.120723,1.29769,1.49809,1.717202,1.968413,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-23,pp_voc_R[82],1.181727,1.332504,1.497995,1.692368,1.90779,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-23,pp_voc_R[83],1.156847,1.31748,1.503885,1.704854,1.946193,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-01,pp_voc_R[1],2.1049945,2.678702,3.54343,4.945522,6.8730885,Posterior prediction,age and region,household,TRUE,sequence,South East
0-14,2021-12-01,pp_voc_R[2],2.0861185,2.70792,3.611865,5.119976,7.2065445,Posterior prediction,age and region,household,TRUE,sequence,South West
15-29,2021-12-01,pp_voc_R[3],2.0984945,2.717436,3.63399,5.068096,7.1914995,Posterior prediction,age and region,household,TRUE,sequence,East of England
15-29,2021-12-01,pp_voc_R[4],2.125489,2.707314,3.594365,5.000976,7.0410615,Posterior prediction,age and region,household,TRUE,sequence,Midlands
30-44,2021-12-01,pp_voc_R[5],2.1380845,2.754234,3.71654,5.176822,7.164574,Posterior prediction,age and region,household,TRUE,sequence,London
45-59,2021-12-01,pp_voc_R[6],2.220693,2.86791,3.770125,5.190628,7.091664,Posterior prediction,age and region,household,TRUE,sequence,London
0-14,2021-12-02,pp_voc_R[7],2.147474,2.689762,3.55471,4.79944,6.5550445,Posterior prediction,age and region,household,TRUE,sequence,South East
0-14,2021-12-02,pp_voc_R[8],2.1371845,2.67323,3.472425,4.738758,6.60881,Posterior prediction,age and region,household,TRUE,sequence,South West
15-29,2021-12-02,pp_voc_R[9],2.254119,2.788374,3.58345,4.796944,6.552946,Posterior prediction,age and region,household,TRUE,sequence,East of England
15-29,2021-12-02,pp_voc_R[10],2.0667615,2.617332,3.45011,4.723552,6.6069175,Posterior prediction,age and region,household,TRUE,sequence,Midlands
30-44,2021-12-02,pp_voc_R[11],2.1479205,2.721076,3.610005,4.900292,6.7116135,Posterior prediction,age and region,household,TRUE,sequence,London
30-44,2021-12-02,pp_voc_R[12],2.152615,2.709768,3.531765,4.754936,6.457654,Posterior prediction,age and region,household,TRUE,sequence,North East and Yorkshire
45-59,2021-12-02,pp_voc_R[13],2.0426475,2.672862,3.5535,4.877236,6.9053215,Posterior prediction,age and region,household,TRUE,sequence,London
0-14,2021-12-03,pp_voc_R[14],2.0667895,2.617594,3.471265,4.796902,6.615284,Posterior prediction,age and region,household,TRUE,sequence,London
0-14,2021-12-03,pp_voc_R[15],2.136951,2.713744,3.57052,4.882752,7.0279085,Posterior prediction,age and region,household,TRUE,sequence,South East
0-14,2021-12-03,pp_voc_R[16],2.14184,2.678588,3.524075,4.803846,6.5417955,Posterior prediction,age and region,household,TRUE,sequence,South West
15-29,2021-12-03,pp_voc_R[17],2.22918,2.742334,3.56274,4.788818,6.6270525,Posterior prediction,age and region,household,TRUE,sequence,East of England
15-29,2021-12-03,pp_voc_R[18],2.0838965,2.647242,3.47121,4.725096,6.457198,Posterior prediction,age and region,household,TRUE,sequence,Midlands
15-29,2021-12-03,pp_voc_R[19],2.091658,2.69643,3.585635,4.948124,6.796537,Posterior prediction,age and region,household,TRUE,sequence,South West
30-44,2021-12-03,pp_voc_R[20],2.1827295,2.776524,3.70988,5.063856,7.134307,Posterior prediction,age and region,household,TRUE,sequence,East of England
30-44,2021-12-03,pp_voc_R[21],2.220588,2.82502,3.729495,5.037054,6.99303199999999,Posterior prediction,age and region,household,TRUE,sequence,London
30-44,2021-12-03,pp_voc_R[22],2.2438065,2.85944,3.72226,5.083542,6.9884125,Posterior prediction,age and region,household,TRUE,sequence,North East and Yorkshire
30-44,2021-12-03,pp_voc_R[23],2.040791,2.599456,3.45931,4.769918,6.789508,Posterior prediction,age and region,household,TRUE,sequence,South West
45-59,2021-12-03,pp_voc_R[24],2.1685785,2.698516,3.56943,4.724156,6.628899,Posterior prediction,age and region,household,TRUE,sequence,East of England
45-59,2021-12-03,pp_voc_R[25],2.144689,2.726858,3.679515,5.066624,6.894665,Posterior prediction,age and region,household,TRUE,sequence,London
45-59,2021-12-03,pp_voc_R[26],2.2352,2.86943,3.80747,5.309334,7.5218255,Posterior prediction,age and region,household,TRUE,sequence,Midlands
0-14,2021-12-04,pp_voc_R[27],2.172501,2.730878,3.59733,4.954872,6.836048,Posterior prediction,age and region,household,TRUE,sequence,London
0-14,2021-12-04,pp_voc_R[28],2.1809685,2.793744,3.69886,5.026914,7.12433699999999,Posterior prediction,age and region,household,TRUE,sequence,South East
