date,total_cases,sgtf_unknown,total_sgt,sgtf,non_sgtf,source,region
2021-11-01,36591,20047,16544,18,16526,public,England
2021-11-02,30264,17836,12428,17,12411,public,England
2021-11-03,28264,14616,13648,16,13632,public,England
2021-11-04,25915,14808,11107,8,11099,public,England
2021-11-05,23709,12614,11095,14,11081,public,England
2021-11-06,21960,12190,9770,3,9767,public,England
2021-11-07,24785,14593,10192,3,10189,public,England
2021-11-08,35110,19091,16019,19,16000,public,England
2021-11-09,33752,17534,16218,13,16205,public,England
2021-11-10,34398,19005,15393,12,15381,public,England
2021-11-11,32737,17440,15297,8,15289,public,England
2021-11-12,30413,15819,14594,7,14587,public,England
2021-11-13,26689,13387,13302,6,13296,public,England
2021-11-14,28794,16614,12180,5,12175,public,England
2021-11-15,41361,18011,23350,20,23330,public,England
2021-11-16,37534,17907,19627,10,19617,public,England
2021-11-17,37258,18323,18935,11,18924,public,England
2021-11-18,36058,16546,19512,11,19501,public,England
2021-11-19,32302,15341,16961,16,16945,public,England
2021-11-20,29099,13968,15131,5,15126,public,England
2021-11-21,30927,15633,15294,18,15276,public,England
2021-11-22,41711,20592,21119,20,21099,public,England
2021-11-23,39935,19335,20600,11,20589,public,England
2021-11-24,38754,20644,18110,17,18093,public,England
2021-11-25,36092,16404,19688,27,19661,public,England
2021-11-26,32752,17280,15472,35,15437,public,England
2021-11-27,27660,15442,12218,43,12175,public,England
2021-11-28,32921,19164,13757,27,13730,public,England
2021-11-29,46488,24016,22472,75,22397,public,England
2021-11-30,46229,24755,21474,83,21391,public,England
2021-12-01,45754,24651,21103,103,21000,public,England
2021-12-02,41644,22831,18813,149,18664,public,England
2021-12-03,37869,20328,17541,210,17331,public,England
2021-12-04,32228,17456,14772,243,14529,public,England
2021-12-05,33806,18664,15142,373,14769,public,England
2021-12-06,49020,29602,19418,865,18553,public,England
2021-12-07,45946,26444,19502,1658,17844,public,England
2021-12-08,47539,28106,19433,2472,16961,public,England
2021-12-09,46268,24809,21459,3475,17984,public,England
2021-12-10,42472,18048,24424,5019,19405,public,England
2021-12-11,39416,22159,17257,3779,13478,public,England
2021-12-12,43239,25341,17898,5853,12045,public,England
2021-12-13,69232,46493,22739,9372,13367,public,England
2021-11-01,3186,2312,874,0,874,public,East Midlands
2021-11-02,2565,1840,725,1,724,public,East Midlands
2021-11-03,2490,1733,757,0,757,public,East Midlands
2021-11-04,2228,1630,598,0,598,public,East Midlands
2021-11-05,2196,1628,568,1,567,public,East Midlands
2021-11-06,2037,1062,975,0,975,public,East Midlands
2021-11-07,2364,1457,907,0,907,public,East Midlands
2021-11-08,3353,1771,1582,4,1578,public,East Midlands
2021-11-09,3327,1801,1526,0,1526,public,East Midlands
2021-11-10,3227,1699,1528,4,1524,public,East Midlands
2021-11-11,2984,1452,1532,1,1531,public,East Midlands
2021-11-12,2861,1197,1664,1,1663,public,East Midlands
2021-11-13,2367,1160,1207,0,1207,public,East Midlands
2021-11-14,2611,1376,1235,2,1233,public,East Midlands
2021-11-15,3659,1281,2378,4,2374,public,East Midlands
2021-11-16,3506,1475,2031,0,2031,public,East Midlands
2021-11-17,3368,1231,2137,3,2134,public,East Midlands
2021-11-18,3237,1208,2029,2,2027,public,East Midlands
2021-11-19,2927,817,2110,5,2105,public,East Midlands
2021-11-20,2549,591,1958,0,1958,public,East Midlands
2021-11-21,2744,681,2063,6,2057,public,East Midlands
2021-11-22,3763,990,2773,1,2772,public,East Midlands
2021-11-23,3571,834,2737,4,2733,public,East Midlands
2021-11-24,3412,1513,1899,4,1895,public,East Midlands
2021-11-25,3132,1051,2081,3,2078,public,East Midlands
2021-11-26,2792,1494,1298,6,1292,public,East Midlands
2021-11-27,2407,1364,1043,4,1039,public,East Midlands
2021-11-28,2815,1671,1144,3,1141,public,East Midlands
2021-11-29,3956,2008,1948,15,1933,public,East Midlands
2021-11-30,3943,2296,1647,10,1637,public,East Midlands
2021-12-01,4007,2410,1597,9,1588,public,East Midlands
2021-12-02,3813,2577,1236,21,1215,public,East Midlands
2021-12-03,3324,2197,1127,44,1083,public,East Midlands
2021-12-04,2933,1019,1914,24,1890,public,East Midlands
2021-12-05,3016,1223,1793,15,1778,public,East Midlands
2021-12-06,4122,2682,1440,55,1385,public,East Midlands
2021-12-07,3827,1596,2231,140,2091,public,East Midlands
2021-12-08,3934,2471,1463,102,1361,public,East Midlands
2021-12-09,3830,1391,2439,257,2182,public,East Midlands
2021-12-10,3403,903,2500,360,2140,public,East Midlands
2021-12-11,3151,948,2203,396,1807,public,East Midlands
2021-12-12,3216,1793,1423,389,1034,public,East Midlands
2021-12-13,4793,1761,3032,1158,1874,public,East Midlands
2021-11-01,4291,2992,1299,0,1299,public,East of England
2021-11-02,3568,2393,1175,2,1173,public,East of England
2021-11-03,3258,1700,1558,1,1557,public,East of England
2021-11-04,2979,1875,1104,2,1102,public,East of England
2021-11-05,2582,1568,1014,5,1009,public,East of England
2021-11-06,2553,1457,1096,0,1096,public,East of England
2021-11-07,2772,1564,1208,0,1208,public,East of England
2021-11-08,3971,2094,1877,0,1877,public,East of England
2021-11-09,3999,1956,2043,1,2042,public,East of England
2021-11-10,4017,2070,1947,2,1945,public,East of England
2021-11-11,3874,1842,2032,0,2032,public,East of England
2021-11-12,3536,1716,1820,0,1820,public,East of England
2021-11-13,3186,1452,1734,1,1733,public,East of England
2021-11-14,3532,1856,1676,0,1676,public,East of England
2021-11-15,4830,1680,3150,3,3147,public,East of England
2021-11-16,4396,2334,2062,0,2062,public,East of England
2021-11-17,4362,2249,2113,0,2113,public,East of England
2021-11-18,4116,1966,2150,1,2149,public,East of England
2021-11-19,3672,1803,1869,1,1868,public,East of England
2021-11-20,3555,1400,2155,1,2154,public,East of England
2021-11-21,3706,1612,2094,2,2092,public,East of England
2021-11-22,4962,2578,2384,4,2380,public,East of England
2021-11-23,4818,2346,2472,2,2470,public,East of England
2021-11-24,4694,2445,2249,2,2247,public,East of England
2021-11-25,4229,1329,2900,4,2896,public,East of England
2021-11-26,3947,1989,1958,5,1953,public,East of England
2021-11-27,3502,1813,1689,7,1682,public,East of England
2021-11-28,4148,2419,1729,5,1724,public,East of England
2021-11-29,5631,3100,2531,7,2524,public,East of England
2021-11-30,5813,3341,2472,11,2461,public,East of England
2021-12-01,5691,3324,2367,7,2360,public,East of England
2021-12-02,5111,2971,2140,19,2121,public,East of England
2021-12-03,4662,2466,2196,29,2167,public,East of England
2021-12-04,3884,1281,2603,36,2567,public,East of England
2021-12-05,4066,1830,2236,60,2176,public,East of England
2021-12-06,5891,3118,2773,134,2639,public,East of England
2021-12-07,5734,3222,2512,238,2274,public,East of England
2021-12-08,5742,2947,2795,368,2427,public,East of England
2021-12-09,5711,2748,2963,507,2456,public,East of England
2021-12-10,5264,1566,3698,749,2949,public,East of England
2021-12-11,5175,2441,2734,656,2078,public,East of England
2021-12-12,5477,2879,2598,916,1682,public,East of England
2021-12-13,8362,5500,2862,1374,1488,public,East of England
2021-11-01,3810,2753,1057,1,1056,public,London
2021-11-02,3346,2283,1063,2,1061,public,London
2021-11-03,3152,1875,1277,2,1275,public,London
2021-11-04,2944,1982,962,1,961,public,London
2021-11-05,2699,1747,952,1,951,public,London
2021-11-06,2480,1843,637,2,635,public,London
2021-11-07,2742,2149,593,0,593,public,London
2021-11-08,3885,2571,1314,5,1309,public,London
2021-11-09,3910,2445,1465,2,1463,public,London
2021-11-10,4030,2864,1166,0,1166,public,London
2021-11-11,3844,2693,1151,1,1150,public,London
2021-11-12,3583,2559,1024,2,1022,public,London
2021-11-13,3169,2049,1120,1,1119,public,London
2021-11-14,3180,2501,679,0,679,public,London
2021-11-15,5016,3353,1663,3,1660,public,London
2021-11-16,4344,2687,1657,4,1653,public,London
