date,total_cases,sgtf_unknown,total_sgt,sgtf,non_sgtf,source,region
2021-11-15,21176,8451,12725,9,12716,private,England
2021-11-16,19500,8517,10983,8,10975,private,England
2021-11-17,18947,8495,10452,2,10450,private,England
2021-11-18,18614,7885,10729,5,10724,private,England
2021-11-19,16914,7482,9432,9,9423,private,England
2021-11-20,14923,6540,8383,2,8381,private,England
2021-11-21,14564,6039,8525,9,8516,private,England
2021-11-22,21533,10009,11524,10,11514,private,England
2021-11-23,20720,9243,11477,4,11473,private,England
2021-11-24,19930,9768,10162,6,10156,private,England
2021-11-25,18736,7895,10841,13,10828,private,England
2021-11-26,17198,8471,8727,18,8709,private,England
2021-11-27,14000,7209,6791,8,6783,private,England
2021-11-28,15440,7609,7831,7,7824,private,England
2021-11-29,23748,11500,12248,22,12226,private,England
2021-11-30,23911,11970,11941,34,11907,private,England
2021-12-01,23944,11999,11945,60,11885,private,England
2021-12-02,21699,11341,10358,68,10290,private,England
2021-12-03,19990,10118,9872,94,9778,private,England
2021-12-04,16597,8422,8175,112,8063,private,England
2021-12-05,16131,7607,8524,188,8336,private,England
2021-12-06,25085,14321,10764,433,10331,private,England
2021-12-07,24298,13212,11086,921,10165,private,England
2021-12-08,25446,14248,11198,1416,9782,private,England
2021-12-09,24950,12827,12123,1952,10171,private,England
2021-12-10,22926,8977,13949,2796,11153,private,England
2021-12-11,20622,10358,10264,2184,8080,private,England
2021-12-12,20962,10175,10787,3395,7392,private,England
2021-12-13,35002,18903,16099,6513,9586,private,England
2021-12-14,42498,23132,19366,10782,8584,private,England
2021-12-15,51137,28170,22967,14720,8247,private,England
2021-12-16,49371,25567,23804,16133,7671,private,England
2021-12-17,44374,22873,21501,14952,6549,private,England
2021-12-18,40716,20549,20167,14809,5358,private,England
2021-12-19,38784,19545,19239,14695,4544,private,England
2021-12-20,60171,31582,28589,23036,5553,private,England
2021-12-21,67464,32492,34972,29977,4995,private,England
2021-12-22,72323,32389,39934,35466,4468,private,England
2021-12-23,72814,36919,35895,32113,3782,private,England
2021-12-24,62549,30403,32146,29051,3095,private,England
2021-12-25,25469,10756,14713,13623,1090,private,England
2021-12-26,46222,19875,26347,24584,1763,private,England
2021-12-27,78126,39076,39050,36588,2462,private,England
2021-12-28,81040,41803,39237,37388,1849,private,England
2021-12-29,109930,59119,50811,48307,2504,private,England
2021-12-30,93475,43066,50409,48814,1595,private,England
2021-12-31,73464,33303,40161,39108,1053,private,England
2022-01-01,43509,17513,25996,25332,664,private,England
2022-01-02,75087,32440,42647,41608,1039,private,England
2022-01-03,94611,42207,52404,51294,1110,private,England
2022-01-04,123882,62089,61793,60550,1243,private,England
2022-01-05,92269,39113,53156,52241,915,private,England
2022-01-06,77510,35553,41957,41307,650,private,England
2022-01-07,48780,23350,25430,25017,413,private,England
2022-01-08,34106,17026,17080,16811,269,private,England
2022-01-09,30077,13079,16998,16762,236,private,England
2022-01-10,47324,20254,27070,26660,410,private,England
2022-01-11,35656,15310,20346,20051,295,private,England
2022-01-12,29459,13819,15640,15416,224,private,England
2022-01-13,26688,12116,14572,14353,219,private,England
