date,total_cases,sgtf_unknown,total_sgt,sgtf,non_sgtf,source,region
2021-11-15,21176,8446,12730,9,12721,private,England
2021-11-16,19500,8513,10987,8,10979,private,England
2021-11-17,18947,8493,10454,2,10452,private,England
2021-11-18,18614,7880,10734,5,10729,private,England
2021-11-19,16914,7476,9438,9,9429,private,England
2021-11-20,14923,6539,8384,2,8382,private,England
2021-11-21,14564,6036,8528,9,8519,private,England
2021-11-22,21533,10006,11527,10,11517,private,England
2021-11-23,20720,9241,11479,4,11475,private,England
2021-11-24,19930,9762,10168,6,10162,private,England
2021-11-25,18736,7893,10843,13,10830,private,England
2021-11-26,17198,8469,8729,18,8711,private,England
2021-11-27,14000,7207,6793,8,6785,private,England
2021-11-28,15440,7605,7835,7,7828,private,England
2021-11-29,23748,11497,12251,22,12229,private,England
2021-11-30,23911,11962,11949,35,11914,private,England
2021-12-01,23944,11995,11949,60,11889,private,England
2021-12-02,21699,11336,10363,69,10294,private,England
2021-12-03,19990,10113,9877,94,9783,private,England
2021-12-04,16597,8420,8177,112,8065,private,England
2021-12-05,16131,7604,8527,188,8339,private,England
2021-12-06,25084,14314,10770,433,10337,private,England
2021-12-07,24298,13200,11098,923,10175,private,England
2021-12-08,25446,14241,11205,1419,9786,private,England
2021-12-09,24950,12814,12136,1955,10181,private,England
2021-12-10,22926,8973,13953,2798,11155,private,England
2021-12-11,20622,10354,10268,2185,8083,private,England
2021-12-12,20962,10169,10793,3396,7397,private,England
2021-12-13,35002,18896,16106,6515,9591,private,England
2021-12-14,42498,23119,19379,10792,8587,private,England
2021-12-15,51137,28159,22978,14728,8250,private,England
2021-12-16,49371,25552,23819,16146,7673,private,England
2021-12-17,44374,22855,21519,14968,6551,private,England
2021-12-18,40716,20531,20185,14826,5359,private,England
2021-12-19,38784,19523,19261,14715,4546,private,England
2021-12-20,60171,31549,28622,23067,5555,private,England
2021-12-21,67464,32456,35008,30007,5001,private,England
2021-12-22,72323,32349,39974,35503,4471,private,England
2021-12-23,72814,36889,35925,32143,3782,private,England
2021-12-24,62549,30379,32170,29073,3097,private,England
2021-12-25,25469,10746,14723,13632,1091,private,England
2021-12-26,46222,19859,26363,24600,1763,private,England
2021-12-27,78126,39052,39074,36612,2462,private,England
2021-12-28,81039,41779,39260,37411,1849,private,England
2021-12-29,109930,59079,50851,48344,2507,private,England
2021-12-30,93475,43034,50441,48845,1596,private,England
2021-12-31,73467,33278,40189,39135,1054,private,England
2022-01-01,43512,17500,26012,25348,664,private,England
2022-01-02,75112,32395,42717,41677,1040,private,England
2022-01-03,94610,42158,52452,51341,1111,private,England
2022-01-04,123882,62044,61838,60595,1243,private,England
2022-01-05,92266,39066,53200,52285,915,private,England
2022-01-06,77509,35484,42025,41375,650,private,England
2022-01-07,48781,23337,25444,25031,413,private,England
2022-01-08,34106,17014,17092,16823,269,private,England
2022-01-09,30077,13069,17008,16772,236,private,England
2022-01-10,47324,20239,27085,26673,412,private,England
2022-01-11,35655,15297,20358,20062,296,private,England
2022-01-12,29459,13813,15646,15422,224,private,England
2022-01-13,26689,12111,14578,14359,219,private,England
2022-01-14,22452,10687,11765,11607,158,private,England
2022-01-15,18143,7704,10439,10241,198,private,England
2022-01-16,17789,7099,10690,10454,236,private,England
2022-01-17,30454,14282,16172,15838,334,private,England
2022-01-18,27606,12522,15084,14730,354,private,England
2022-01-19,25947,11136,14811,14403,408,private,England
2022-01-20,23101,10476,12625,12235,390,private,England
2022-01-21,21363,11032,10331,10025,306,private,England
2022-01-22,17721,9562,8159,7833,326,private,England
2022-01-23,17656,9585,8071,7728,343,private,England
2022-01-24,28840,15579,13261,12596,665,private,England
2022-01-25,25924,13667,12257,11506,751,private,England
2022-01-26,25396,13839,11557,10804,753,private,England
2022-01-27,22382,12449,9933,9186,747,private,England
2022-01-28,19486,10552,8934,8177,757,private,England
2022-01-29,15619,8349,7270,6568,702,private,England
2022-01-30,14752,7643,7109,6345,764,private,England
2022-01-31,23140,13156,9984,8907,1077,private,England
2022-02-01,20501,11963,8538,7537,1001,private,England
2022-02-02,19880,11779,8101,7072,1029,private,England
2022-02-03,18034,10861,7173,6214,959,private,England
2022-02-04,14790,9062,5728,4876,852,private,England
2022-02-05,10831,6014,4817,3918,899,private,England
2022-02-06,9453,4862,4591,3742,849,private,England
2022-02-07,16950,9914,7036,5572,1464,private,England
2022-02-08,14574,9026,5548,4316,1232,private,England
2022-02-09,13776,8671,5105,3814,1291,private,England
2022-02-10,11159,6929,4230,3063,1167,private,England
2022-02-11,9215,5675,3540,2572,968,private,England
2022-02-12,6835,4122,2713,1850,863,private,England
2022-02-13,5751,2777,2974,1976,998,private,England
2022-02-14,11064,4836,6228,3933,2295,private,England
2022-02-15,9433,5338,4095,2459,1636,private,England
2022-02-16,9753,5239,4514,2637,1877,private,England
2022-02-17,8700,4600,4100,2355,1745,private,England
2022-02-18,3813,1642,2171,1276,895,private,England
2022-02-19,6863,3694,3169,1543,1626,private,England
2022-02-20,5218,2926,2292,1077,1215,private,England
2022-02-21,8548,4710,3838,1812,2026,private,England
2022-02-22,7179,3839,3340,1543,1797,private,England
2022-02-23,6372,3396,2976,1281,1695,private,England
2022-02-24,5285,2781,2504,935,1569,private,England
2022-02-25,4653,2554,2099,773,1326,private,England
