date,total_cases,sgtf_unknown,total_sgt,sgtf,non_sgtf,source,region
2022-02-26,3654,2031,1623,557,1066,private,England
2022-02-27,3707,2015,1692,495,1197,private,England
2022-02-28,1475,920,555,177,378,private,England
2021-11-15,2447,860,1587,1,1586,private,East of England
2021-11-16,2324,1176,1148,0,1148,private,East of England
2021-11-17,2289,1196,1093,0,1093,private,East of England
2021-11-18,2217,1090,1127,1,1126,private,East of England
2021-11-19,1967,995,972,0,972,private,East of England
2021-11-20,1841,734,1107,1,1106,private,East of England
2021-11-21,1757,624,1133,1,1132,private,East of England
2021-11-22,2636,1383,1253,3,1250,private,East of England
2021-11-23,2565,1246,1319,1,1318,private,East of England
2021-11-24,2445,1245,1200,0,1200,private,East of England
2021-11-25,2291,774,1517,2,1515,private,East of England
2021-11-26,2204,1077,1127,1,1126,private,East of England
2021-11-27,1923,1017,906,0,906,private,East of England
2021-11-28,1998,1057,941,2,939,private,East of England
2021-11-29,2900,1619,1281,0,1281,private,East of England
2021-11-30,3029,1758,1271,2,1269,private,East of England
2021-12-01,2981,1761,1220,5,1215,private,East of England
2021-12-02,2666,1591,1075,7,1068,private,East of England
2021-12-03,2510,1362,1148,12,1136,private,East of England
2021-12-04,2081,700,1381,20,1361,private,East of England
2021-12-05,2026,845,1181,30,1151,private,East of England
2021-12-06,3182,1736,1446,74,1372,private,East of England
2021-12-07,3125,1771,1354,133,1221,private,East of England
2021-12-08,3151,1590,1561,220,1341,private,East of England
2021-12-09,3202,1564,1638,295,1343,private,East of England
2021-12-10,2898,911,1987,393,1594,private,East of England
2021-12-11,2712,1250,1462,362,1100,private,East of England
2021-12-12,2781,1320,1461,504,957,private,East of England
2021-12-13,4468,2598,1870,893,977,private,East of England
2021-12-14,5631,3492,2139,1292,847,private,East of England
2021-12-15,6677,4529,2148,1423,725,private,East of England
2021-12-16,6357,3937,2420,1746,674,private,East of England
2021-12-17,5549,3422,2127,1590,537,private,East of England
2021-12-18,5225,3378,1847,1390,457,private,East of England
2021-12-19,5179,3066,2113,1697,416,private,East of England
2021-12-20,7918,5664,2254,1862,392,private,East of England
2021-12-21,8736,5683,3053,2662,391,private,East of England
2021-12-22,8940,5564,3376,3029,347,private,East of England
2021-12-23,8940,6078,2862,2606,256,private,East of England
2021-12-24,7519,4471,3048,2755,293,private,East of England
2021-12-25,3037,1232,1805,1664,141,private,East of England
2021-12-26,5195,2351,2844,2651,193,private,East of England
2021-12-27,9499,6467,3032,2839,193,private,East of England
2021-12-28,9363,6329,3034,2919,115,private,East of England
2021-12-29,12296,8268,4028,3825,203,private,East of England
2021-12-30,10096,6782,3314,3204,110,private,East of England
2021-12-31,7892,5904,1988,1930,58,private,East of England
2022-01-01,4313,2018,2295,2218,77,private,East of England
2022-01-02,7673,5289,2384,2314,70,private,East of England
2022-01-03,9565,6784,2781,2702,79,private,East of England
2022-01-04,12345,8747,3598,3503,95,private,East of England
2022-01-05,8481,5921,2560,2519,41,private,East of England
2022-01-06,7472,5266,2206,2170,36,private,East of England
2022-01-07,4729,3350,1379,1347,32,private,East of England
2022-01-08,3356,2356,1000,980,20,private,East of England
2022-01-09,2932,2153,779,762,17,private,East of England
2022-01-10,4700,3187,1513,1480,33,private,East of England
2022-01-11,3618,2457,1161,1127,34,private,East of England
2022-01-12,3098,2184,914,897,17,private,East of England
2022-01-13,2806,2020,786,769,17,private,East of England
2022-01-14,2452,1766,686,673,13,private,East of England
2022-01-15,1965,1252,713,692,21,private,East of England
2022-01-16,1967,1185,782,763,19,private,East of England
2022-01-17,3370,1888,1482,1435,47,private,East of England
2022-01-18,3056,1678,1378,1333,45,private,East of England
2022-01-19,3043,1470,1573,1518,55,private,East of England
2022-01-20,2654,1435,1219,1170,49,private,East of England
2022-01-21,2648,1401,1247,1196,51,private,East of England
2022-01-22,2253,1169,1084,1020,64,private,East of England
2022-01-23,2118,946,1172,1096,76,private,East of England
2022-01-24,3456,1620,1836,1710,126,private,East of England
2022-01-25,3040,1388,1652,1504,148,private,East of England
2022-01-26,3019,1461,1558,1431,127,private,East of England
2022-01-27,2762,1497,1265,1146,119,private,East of England
2022-01-28,2379,985,1394,1243,151,private,East of England
2022-01-29,2113,837,1276,1128,148,private,East of England
2022-01-30,1853,619,1234,1093,141,private,East of England
2022-01-31,2800,1169,1631,1404,227,private,East of England
2022-02-01,2661,1314,1347,1151,196,private,East of England
2022-02-02,2523,1300,1223,1026,197,private,East of England
2022-02-03,2259,1250,1009,830,179,private,East of England
2022-02-04,1900,1161,739,606,133,private,East of England
2022-02-05,1405,588,817,639,178,private,East of England
2022-02-06,1184,448,736,561,175,private,East of England
2022-02-07,2093,1214,879,680,199,private,East of England
2022-02-08,1832,1028,804,595,209,private,East of England
2022-02-09,1736,1089,647,448,199,private,East of England
2022-02-10,1392,816,576,385,191,private,East of England
2022-02-11,1200,709,491,332,159,private,East of England
2022-02-12,850,510,340,223,117,private,East of England
2022-02-13,719,214,505,322,183,private,East of England
2022-02-14,1314,281,1033,610,423,private,East of England
2022-02-15,1128,481,647,331,316,private,East of England
2022-02-16,1178,486,692,351,341,private,East of England
2022-02-17,1096,436,660,344,316,private,East of England
2022-02-18,435,230,205,101,104,private,East of England
2022-02-19,1049,434,615,279,336,private,East of England
2022-02-20,724,308,416,185,231,private,East of England
2022-02-21,1008,433,575,247,328,private,East of England
2022-02-22,969,368,601,254,347,private,East of England
2022-02-23,808,333,475,198,277,private,East of England
2022-02-24,703,305,398,135,263,private,East of England
2022-02-25,582,256,326,105,221,private,East of England
2022-02-26,444,181,263,75,188,private,East of England
2022-02-27,434,188,246,66,180,private,East of England
2022-02-28,202,104,98,20,78,private,East of England
2021-11-15,2465,1568,897,0,897,private,London
2021-11-16,2163,1284,879,5,874,private,London
2021-11-17,2154,1251,903,0,903,private,London
2021-11-18,2200,1177,1023,1,1022,private,London
2021-11-19,1898,1169,729,2,727,private,London
2021-11-20,1738,1028,710,0,710,private,London
2021-11-21,1647,936,711,0,711,private,London
2021-11-22,2586,1672,914,2,912,private,London
2021-11-23,2464,1590,874,1,873,private,London
2021-11-24,2570,1735,835,1,834,private,London
2021-11-25,2432,1491,941,2,939,private,London
2021-11-26,2240,1392,848,6,842,private,London
2021-11-27,2046,1301,745,4,741,private,London
2021-11-28,1754,1196,558,2,556,private,London
2021-11-29,3190,2062,1128,1,1127,private,London
2021-11-30,3195,2294,901,12,889,private,London
2021-12-01,3379,2495,884,14,870,private,London
2021-12-02,3129,2294,835,23,812,private,London
2021-12-03,2951,2123,828,28,800,private,London
2021-12-04,2465,1413,1052,54,998,private,London
2021-12-05,2347,1517,830,84,746,private,London
2021-12-06,3795,2424,1371,179,1192,private,London
2021-12-07,4220,2844,1376,341,1035,private,London
2021-12-08,4756,3114,1642,557,1085,private,London
2021-12-09,4951,2965,1986,807,1179,private,London
2021-12-10,4852,2419,2433,1089,1344,private,London
2021-12-11,4398,3448,950,496,454,private,London
2021-12-12,4873,3076,1797,1064,733,private,London
2021-12-13,9048,6157,2891,2034,857,private,London
2021-12-14,12027,7914,4113,3246,867,private,London
2021-12-15,13966,9475,4491,3739,752,private,London
2021-12-16,14616,9162,5454,4679,775,private,London
2021-12-17,13081,8804,4277,3736,541,private,London
2021-12-18,12037,7697,4340,3851,489,private,London
2021-12-19,10228,7079,3149,2799,350,private,London
2021-12-20,15526,10072,5454,4918,536,private,London
2021-12-21,16887,10135,6752,6211,541,private,London
2021-12-22,15486,9029,6457,6001,456,private,London
2021-12-23,15240,9391,5849,5507,342,private,London
2021-12-24,11443,7447,3996,3810,186,private,London
2021-12-25,3957,2475,1482,1432,50,private,London
2021-12-26,8018,4263,3755,3624,131,private,London
2021-12-27,12969,8707,4262,4082,180,private,London
2021-12-28,12377,8462,3915,3776,139,private,London
2021-12-29,17997,9811,8186,7920,266,private,London
2021-12-30,13259,8272,4987,4854,133,private,London
2021-12-31,9768,6005,3763,3681,82,private,London
2022-01-01,5502,3478,2024,1980,44,private,London
2022-01-02,10412,7110,3302,3230,72,private,London
2022-01-03,12302,8791,3511,3459,52,private,London
2022-01-04,15011,10087,4924,4825,99,private,London
2022-01-05,10551,7109,3442,3382,60,private,London
2022-01-06,10407,6993,3414,3350,64,private,London
2022-01-07,6181,3894,2287,2250,37,private,London
2022-01-08,4535,3135,1400,1370,30,private,London
2022-01-09,4004,2641,1363,1322,41,private,London
2022-01-10,6340,3896,2444,2377,67,private,London
2022-01-11,4961,3207,1754,1710,44,private,London
2022-01-12,4312,3015,1297,1254,43,private,London
2022-01-13,3998,2618,1380,1342,38,private,London
2022-01-14,3418,2366,1052,1017,35,private,London
2022-01-15,2671,1694,977,938,39,private,London
2022-01-16,2578,1471,1107,1044,63,private,London
2022-01-17,4179,2709,1470,1404,66,private,London
2022-01-18,3960,2518,1442,1347,95,private,London
2022-01-19,3621,1974,1647,1546,101,private,London
2022-01-20,3431,1995,1436,1343,93,private,London
2022-01-21,3162,1894,1268,1181,87,private,London
2022-01-22,2660,1630,1030,943,87,private,London
2022-01-23,2498,1621,877,802,75,private,London
2022-01-24,4162,2592,1570,1382,188,private,London
2022-01-25,3887,2036,1851,1632,219,private,London
2022-01-26,3944,2217,1727,1513,214,private,London
2022-01-27,3497,2057,1440,1223,217,private,London
2022-01-28,3162,1790,1372,1158,214,private,London
2022-01-29,2445,1338,1107,900,207,private,London
2022-01-30,2174,1133,1041,848,193,private,London
2022-01-31,3389,2176,1213,956,257,private,London
2022-02-01,3166,2019,1147,869,278,private,London
2022-02-02,3189,2060,1129,847,282,private,London
2022-02-03,2862,1948,914,698,216,private,London
2022-02-04,2392,1555,837,608,229,private,London
2022-02-05,1774,1002,772,520,252,private,London
2022-02-06,1557,1083,474,328,146,private,London
2022-02-07,2652,1481,1171,737,434,private,London
2022-02-08,2277,1482,795,497,298,private,London
2022-02-09,2243,1432,811,486,325,private,London
2022-02-10,1942,1223,719,422,297,private,London
2022-02-11,1559,907,652,384,268,private,London
2022-02-12,1191,695,496,283,213,private,London
2022-02-13,918,568,350,161,189,private,London
2022-02-14,1739,676,1063,540,523,private,London
2022-02-15,1531,691,840,403,437,private,London
2022-02-16,1721,759,962,461,501,private,London
2022-02-17,1528,616,912,450,462,private,London
2022-02-18,313,77,236,97,139,private,London
2022-02-19,1384,484,900,384,516,private,London
2022-02-20,1010,498,512,185,327,private,London
2022-02-21,1514,620,894,308,586,private,London
2022-02-22,1337,565,772,249,523,private,London
2022-02-23,1176,460,716,226,490,private,London
2022-02-24,994,367,627,176,451,private,London
2022-02-25,884,346,538,147,391,private,London
2022-02-26,690,312,378,98,280,private,London
2022-02-27,619,303,316,74,242,private,London
2022-02-28,242,240,2,1,1,private,London
2021-11-15,4034,1466,2568,3,2565,private,Midlands
2021-11-16,3878,1203,2675,0,2675,private,Midlands
2021-11-17,3638,1418,2220,1,2219,private,Midlands
2021-11-18,3471,1138,2333,0,2333,private,Midlands
2021-11-19,3290,785,2505,4,2501,private,Midlands
2021-11-20,2893,689,2204,1,2203,private,Midlands
2021-11-21,2783,449,2334,4,2330,private,Midlands
2021-11-22,4097,1045,3052,1,3051,private,Midlands
2021-11-23,3785,1035,2750,1,2749,private,Midlands
2021-11-24,3686,1543,2143,3,2140,private,Midlands
2021-11-25,3512,1210,2302,2,2300,private,Midlands
2021-11-26,3169,1489,1680,7,1673,private,Midlands
2021-11-27,2377,1185,1192,1,1191,private,Midlands
2021-11-28,2913,1355,1558,1,1557,private,Midlands
2021-11-29,4232,1446,2786,11,2775,private,Midlands
2021-11-30,4342,1734,2608,7,2601,private,Midlands
2021-12-01,4255,1714,2541,11,2530,private,Midlands
2021-12-02,4003,1781,2222,10,2212,private,Midlands
2021-12-03,3633,1918,1715,9,1706,private,Midlands
2021-12-04,3143,1617,1526,9,1517,private,Midlands
2021-12-05,3021,1345,1676,13,1663,private,Midlands
2021-12-06,4606,2768,1838,35,1803,private,Midlands
2021-12-07,4325,2110,2215,108,2107,private,Midlands
2021-12-08,4455,2645,1810,123,1687,private,Midlands
2021-12-09,4407,2021,2386,229,2157,private,Midlands
2021-12-10,3932,895,3037,407,2630,private,Midlands
2021-12-11,3452,809,2643,446,2197,private,Midlands
2021-12-12,3305,1165,2140,510,1630,private,Midlands
2021-12-13,5369,1940,3429,1163,2266,private,Midlands
2021-12-14,5948,2073,3875,1908,1967,private,Midlands
2021-12-15,7841,2977,4864,2961,1903,private,Midlands
2021-12-16,7121,2599,4522,2836,1686,private,Midlands
2021-12-17,6462,1764,4698,3084,1614,private,Midlands
2021-12-18,5727,1232,4495,3105,1390,private,Midlands
2021-12-19,5690,1262,4428,3253,1175,private,Midlands
2021-12-20,9126,2797,6329,4974,1355,private,Midlands
2021-12-21,10452,3736,6716,5707,1009,private,Midlands
2021-12-22,11762,4071,7691,6739,952,private,Midlands
2021-12-23,12476,5383,7093,6251,842,private,Midlands
2021-12-24,10954,4352,6602,5902,700,private,Midlands
2021-12-25,4755,2476,2279,2088,191,private,Midlands
2021-12-26,8341,4317,4024,3714,310,private,Midlands
2021-12-27,14816,7550,7266,6812,454,private,Midlands
2021-12-28,15652,9432,6220,5939,281,private,Midlands
2021-12-29,20788,14275,6513,6148,365,private,Midlands
2021-12-30,18054,9800,8254,7956,298,private,Midlands
2021-12-31,13660,6723,6937,6757,180,private,Midlands
2022-01-01,8566,4515,4051,3942,109,private,Midlands
2022-01-02,14444,5876,8568,8348,220,private,Midlands
2022-01-03,18376,8559,9817,9598,219,private,Midlands
2022-01-04,24221,14595,9626,9490,136,private,Midlands
2022-01-05,18639,9230,9409,9248,161,private,Midlands
2022-01-06,16421,8160,8261,8143,118,private,Midlands
2022-01-07,10172,5172,5000,4933,67,private,Midlands
2022-01-08,7031,3304,3727,3674,53,private,Midlands
2022-01-09,6218,2550,3668,3619,49,private,Midlands
2022-01-10,9692,4357,5335,5260,75,private,Midlands
2022-01-11,7378,3247,4131,4070,61,private,Midlands
2022-01-12,6032,2887,3145,3119,26,private,Midlands
2022-01-13,5531,2606,2925,2892,33,private,Midlands
2022-01-14,4613,2075,2538,2511,27,private,Midlands
2022-01-15,3811,1496,2315,2277,38,private,Midlands
2022-01-16,3572,1387,2185,2138,47,private,Midlands
2022-01-17,6321,2922,3399,3336,63,private,Midlands
2022-01-18,5626,2543,3083,3024,59,private,Midlands
2022-01-19,5314,2362,2952,2900,52,private,Midlands
2022-01-20,4796,2087,2709,2646,63,private,Midlands
2022-01-21,4311,2448,1863,1819,44,private,Midlands
2022-01-22,3478,2149,1329,1285,44,private,Midlands
2022-01-23,3560,2239,1321,1274,47,private,Midlands
2022-01-24,5691,3395,2296,2216,80,private,Midlands
2022-01-25,5043,3211,1832,1741,91,private,Midlands
2022-01-26,4908,2990,1918,1832,86,private,Midlands
2022-01-27,4205,2740,1465,1360,105,private,Midlands
2022-01-28,3667,2263,1404,1317,87,private,Midlands
2022-01-29,2966,1916,1050,966,84,private,Midlands
2022-01-30,2685,1748,937,842,95,private,Midlands
2022-01-31,4215,2700,1515,1378,137,private,Midlands
2022-02-01,3780,2441,1339,1213,126,private,Midlands
2022-02-02,3589,2377,1212,1082,130,private,Midlands
2022-02-03,3205,2047,1158,1013,145,private,Midlands
2022-02-04,2591,1665,926,814,112,private,Midlands
2022-02-05,1892,1289,603,491,112,private,Midlands
2022-02-06,1651,486,1165,981,184,private,Midlands
2022-02-07,2970,1775,1195,991,204,private,Midlands
2022-02-08,2565,1747,818,642,176,private,Midlands
2022-02-09,2411,1758,653,498,155,private,Midlands
2022-02-10,1826,1337,489,370,119,private,Midlands
2022-02-11,1572,1175,397,317,80,private,Midlands
2022-02-12,1134,782,352,231,121,private,Midlands
2022-02-13,980,239,741,514,227,private,Midlands
2022-02-14,1852,691,1161,811,350,private,Midlands
2022-02-15,1503,1105,398,239,159,private,Midlands
2022-02-16,1570,1102,468,291,177,private,Midlands
2022-02-17,1383,943,440,262,178,private,Midlands
2022-02-18,1086,782,304,175,129,private,Midlands
2022-02-19,938,696,242,131,111,private,Midlands
2022-02-20,803,593,210,108,102,private,Midlands
2022-02-21,1377,963,414,216,198,private,Midlands
2022-02-22,1069,782,287,163,124,private,Midlands
2022-02-23,1037,735,302,132,170,private,Midlands
2022-02-24,809,547,262,104,158,private,Midlands
2022-02-25,751,552,199,83,116,private,Midlands
2022-02-26,576,417,159,56,103,private,Midlands
2022-02-27,616,445,171,56,115,private,Midlands
2022-02-28,301,164,137,44,93,private,Midlands
2021-11-15,3091,417,2674,0,2674,private,North East and Yorkshire
2021-11-16,2796,362,2434,1,2433,private,North East and Yorkshire
2021-11-17,2802,221,2581,0,2581,private,North East and Yorkshire
2021-11-18,2718,181,2537,3,2534,private,North East and Yorkshire
2021-11-19,2422,172,2250,0,2250,private,North East and Yorkshire
2021-11-20,1978,133,1845,0,1845,private,North East and Yorkshire
2021-11-21,1971,171,1800,0,1800,private,North East and Yorkshire
2021-11-22,2876,262,2614,1,2613,private,North East and Yorkshire
2021-11-23,2761,280,2481,1,2480,private,North East and Yorkshire
2021-11-24,2636,237,2399,2,2397,private,North East and Yorkshire
2021-11-25,2492,221,2271,1,2270,private,North East and Yorkshire
2021-11-26,2218,202,2016,1,2015,private,North East and Yorkshire
2021-11-27,1406,114,1292,0,1292,private,North East and Yorkshire
2021-11-28,2013,117,1896,1,1895,private,North East and Yorkshire
2021-11-29,3030,220,2810,1,2809,private,North East and Yorkshire
2021-11-30,3061,257,2804,3,2801,private,North East and Yorkshire
2021-12-01,2990,227,2763,6,2757,private,North East and Yorkshire
2021-12-02,2617,184,2433,4,2429,private,North East and Yorkshire
2021-12-03,2355,210,2145,6,2139,private,North East and Yorkshire
2021-12-04,1955,226,1729,1,1728,private,North East and Yorkshire
2021-12-05,1949,171,1778,10,1768,private,North East and Yorkshire
2021-12-06,2939,299,2640,15,2625,private,North East and Yorkshire
2021-12-07,2756,320,2436,37,2399,private,North East and Yorkshire
2021-12-08,2925,318,2607,82,2525,private,North East and Yorkshire
2021-12-09,2699,271,2428,112,2316,private,North East and Yorkshire
2021-12-10,2350,252,2098,122,1976,private,North East and Yorkshire
2021-12-11,2153,216,1937,165,1772,private,North East and Yorkshire
2021-12-12,2210,494,1716,247,1469,private,North East and Yorkshire
2021-12-13,3394,279,3115,668,2447,private,North East and Yorkshire
2021-12-14,3788,323,3465,1306,2159,private,North East and Yorkshire
2021-12-15,4736,339,4397,2135,2262,private,North East and Yorkshire
2021-12-16,4297,304,3993,2030,1963,private,North East and Yorkshire
2021-12-17,3863,346,3517,1925,1592,private,North East and Yorkshire
2021-12-18,3654,319,3335,2021,1314,private,North East and Yorkshire
2021-12-19,3757,349,3408,2237,1171,private,North East and Yorkshire
2021-12-20,5939,476,5463,3910,1553,private,North East and Yorkshire
2021-12-21,7134,619,6515,5157,1358,private,North East and Yorkshire
2021-12-22,8736,1482,7254,6112,1142,private,North East and Yorkshire
2021-12-23,9078,1928,7150,6089,1061,private,North East and Yorkshire
2021-12-24,8417,2205,6212,5405,807,private,North East and Yorkshire
2021-12-25,3651,155,3496,3175,321,private,North East and Yorkshire
2021-12-26,7109,347,6762,6160,602,private,North East and Yorkshire
2021-12-27,11109,779,10330,9540,790,private,North East and Yorkshire
2021-12-28,13229,957,12272,11560,712,private,North East and Yorkshire
2021-12-29,17844,2357,15487,14600,887,private,North East and Yorkshire
2021-12-30,16230,1173,15057,14563,494,private,North East and Yorkshire
2021-12-31,14043,2118,11925,11574,351,private,North East and Yorkshire
2022-01-01,8344,424,7920,7737,183,private,North East and Yorkshire
2022-01-02,14311,946,13365,13017,348,private,North East and Yorkshire
2022-01-03,19849,1414,18435,18041,394,private,North East and Yorkshire
2022-01-04,25504,2997,22507,22014,493,private,North East and Yorkshire
2022-01-05,21163,1413,19750,19404,346,private,North East and Yorkshire
2022-01-06,16219,1223,14996,14761,235,private,North East and Yorkshire
2022-01-07,11018,2319,8699,8561,138,private,North East and Yorkshire
2022-01-08,7266,1809,5457,5390,67,private,North East and Yorkshire
2022-01-09,6485,638,5847,5801,46,private,North East and Yorkshire
2022-01-10,9845,829,9016,8907,109,private,North East and Yorkshire
2022-01-11,7457,607,6850,6784,66,private,North East and Yorkshire
2022-01-12,6043,457,5586,5528,58,private,North East and Yorkshire
2022-01-13,5437,411,5026,4965,61,private,North East and Yorkshire
2022-01-14,4490,389,4101,4068,33,private,North East and Yorkshire
2022-01-15,3459,284,3175,3139,36,private,North East and Yorkshire
2022-01-16,3419,286,3133,3101,32,private,North East and Yorkshire
2022-01-17,5652,560,5092,5035,57,private,North East and Yorkshire
2022-01-18,5056,448,4608,4564,44,private,North East and Yorkshire
2022-01-19,4583,378,4205,4152,53,private,North East and Yorkshire
2022-01-20,3848,393,3455,3410,45,private,North East and Yorkshire
2022-01-21,3487,365,3122,3082,40,private,North East and Yorkshire
2022-01-22,2819,317,2502,2455,47,private,North East and Yorkshire
2022-01-23,2852,375,2477,2434,43,private,North East and Yorkshire
2022-01-24,4464,589,3875,3786,89,private,North East and Yorkshire
2022-01-25,3975,565,3410,3315,95,private,North East and Yorkshire
2022-01-26,3774,480,3294,3185,109,private,North East and Yorkshire
2022-01-27,3340,416,2924,2819,105,private,North East and Yorkshire
2022-01-28,2627,328,2299,2212,87,private,North East and Yorkshire
2022-01-29,1878,158,1720,1669,51,private,North East and Yorkshire
2022-01-30,2035,320,1715,1651,64,private,North East and Yorkshire
2022-01-31,3224,448,2776,2615,161,private,North East and Yorkshire
2022-02-01,2684,287,2397,2270,127,private,North East and Yorkshire
2022-02-02,2593,271,2322,2172,150,private,North East and Yorkshire
2022-02-03,2341,259,2082,1943,139,private,North East and Yorkshire
2022-02-04,1913,228,1685,1534,151,private,North East and Yorkshire
2022-02-05,1433,154,1279,1166,113,private,North East and Yorkshire
2022-02-06,1182,125,1057,945,112,private,North East and Yorkshire
2022-02-07,2112,307,1805,1597,208,private,North East and Yorkshire
2022-02-08,1775,243,1532,1339,193,private,North East and Yorkshire
2022-02-09,1669,213,1456,1239,217,private,North East and Yorkshire
2022-02-10,1364,165,1199,991,208,private,North East and Yorkshire
2022-02-11,1093,127,966,808,158,private,North East and Yorkshire
2022-02-12,825,72,753,600,153,private,North East and Yorkshire
2022-02-13,754,93,661,504,157,private,North East and Yorkshire
2022-02-14,1380,178,1202,898,304,private,North East and Yorkshire
2022-02-15,1146,144,1002,741,261,private,North East and Yorkshire
2022-02-16,1185,81,1104,802,302,private,North East and Yorkshire
2022-02-17,1057,99,958,673,285,private,North East and Yorkshire
