date,total_cases,sgtf_unknown,total_sgt,sgtf,non_sgtf,source,region
2021-11-15,21176,8446,12730,9,12721,private,England
2021-11-16,19500,8513,10987,8,10979,private,England
2021-11-17,18947,8493,10454,2,10452,private,England
2021-11-18,18614,7880,10734,5,10729,private,England
2021-11-19,16913,7475,9438,9,9429,private,England
2021-11-20,14923,6539,8384,2,8382,private,England
2021-11-21,14565,6036,8529,9,8520,private,England
2021-11-22,21533,10006,11527,10,11517,private,England
2021-11-23,20720,9241,11479,4,11475,private,England
2021-11-24,19930,9762,10168,6,10162,private,England
2021-11-25,18736,7893,10843,13,10830,private,England
2021-11-26,17197,8468,8729,18,8711,private,England
2021-11-27,14001,7208,6793,8,6785,private,England
2021-11-28,15441,7606,7835,7,7828,private,England
2021-11-29,23747,11497,12250,22,12228,private,England
2021-11-30,23911,11962,11949,35,11914,private,England
2021-12-01,23945,11996,11949,60,11889,private,England
2021-12-02,21699,11336,10363,69,10294,private,England
2021-12-03,19990,10114,9876,94,9782,private,England
2021-12-04,16597,8420,8177,112,8065,private,England
2021-12-05,16130,7604,8526,188,8338,private,England
2021-12-06,25084,14314,10770,433,10337,private,England
2021-12-07,24298,13200,11098,923,10175,private,England
2021-12-08,25446,14241,11205,1419,9786,private,England
2021-12-09,24952,12816,12136,1955,10181,private,England
2021-12-10,22926,8973,13953,2798,11155,private,England
2021-12-11,20622,10354,10268,2185,8083,private,England
2021-12-12,20960,10167,10793,3396,7397,private,England
2021-12-13,35002,18896,16106,6515,9591,private,England
2021-12-14,42498,23121,19377,10790,8587,private,England
2021-12-15,51137,28159,22978,14728,8250,private,England
2021-12-16,49370,25553,23817,16145,7672,private,England
2021-12-17,44376,22858,21518,14967,6551,private,England
2021-12-18,40715,20530,20185,14826,5359,private,England
2021-12-19,38784,19524,19260,14714,4546,private,England
2021-12-20,60169,31548,28621,23066,5555,private,England
2021-12-21,67458,32450,35008,30007,5001,private,England
2021-12-22,72321,32346,39975,35504,4471,private,England
2021-12-23,72813,36888,35925,32144,3781,private,England
2021-12-24,62550,30378,32172,29075,3097,private,England
2021-12-25,25471,10748,14723,13632,1091,private,England
2021-12-26,46224,19860,26364,24601,1763,private,England
2021-12-27,78128,39054,39074,36612,2462,private,England
2021-12-28,81041,41778,39263,37414,1849,private,England
2021-12-29,109930,59080,50850,48344,2506,private,England
2021-12-30,93472,43033,50439,48843,1596,private,England
2021-12-31,73470,33283,40187,39133,1054,private,England
2022-01-01,43514,17502,26012,25348,664,private,England
2022-01-02,75124,32407,42717,41677,1040,private,England
2022-01-03,94605,42155,52450,51339,1111,private,England
2022-01-04,123874,62038,61836,60593,1243,private,England
2022-01-05,92262,39065,53197,52282,915,private,England
2022-01-06,77508,35484,42024,41375,649,private,England
2022-01-07,48780,23336,25444,25031,413,private,England
2022-01-08,34106,17014,17092,16823,269,private,England
2022-01-09,30077,13068,17009,16773,236,private,England
2022-01-10,47324,20240,27084,26672,412,private,England
2022-01-11,35655,15298,20357,20061,296,private,England
2022-01-12,29461,13815,15646,15422,224,private,England
2022-01-13,26691,12112,14579,14360,219,private,England
2022-01-14,22454,10689,11765,11607,158,private,England
2022-01-15,18144,7705,10439,10241,198,private,England
2022-01-16,17793,7103,10690,10454,236,private,England
2022-01-17,30453,14284,16169,15835,334,private,England
2022-01-18,27609,12524,15085,14731,354,private,England
2022-01-19,25938,11129,14809,14401,408,private,England
2022-01-20,23098,10474,12624,12234,390,private,England
2022-01-21,21365,11034,10331,10025,306,private,England
2022-01-22,17719,9561,8158,7832,326,private,England
2022-01-23,17657,9586,8071,7728,343,private,England
2022-01-24,28841,15582,13259,12594,665,private,England
2022-01-25,25926,13671,12255,11505,750,private,England
2022-01-26,25393,13839,11554,10801,753,private,England
2022-01-27,22382,12451,9931,9185,746,private,England
2022-01-28,19487,10556,8931,8174,757,private,England
2022-01-29,15632,8364,7268,6567,701,private,England
2022-01-30,14758,7654,7104,6341,763,private,England
2022-01-31,23131,13159,9972,8901,1071,private,England
2022-02-01,20497,11964,8533,7534,999,private,England
2022-02-02,19894,11795,8099,7072,1027,private,England
2022-02-03,18031,10868,7163,6208,955,private,England
2022-02-04,14787,9066,5721,4868,853,private,England
2022-02-05,10834,6026,4808,3910,898,private,England
2022-02-06,9472,4883,4589,3741,848,private,England
2022-02-07,16942,9925,7017,5557,1460,private,England
2022-02-08,14578,9037,5541,4313,1228,private,England
2022-02-09,13764,8674,5090,3803,1287,private,England
2022-02-10,11170,6945,4225,3058,1167,private,England
2022-02-11,9212,5682,3530,2566,964,private,England
2022-02-12,6828,4121,2707,1848,859,private,England
2022-02-13,5747,2779,2968,1971,997,private,England
2022-02-14,11058,4835,6223,3932,2291,private,England
2022-02-15,9435,5342,4093,2459,1634,private,England
2022-02-16,9751,5241,4510,2633,1877,private,England
2022-02-17,8702,4602,4100,2355,1745,private,England
2022-02-18,3822,1652,2170,1276,894,private,England
2022-02-19,6860,3695,3165,1542,1623,private,England
2022-02-20,5214,2922,2292,1078,1214,private,England
2022-02-21,8552,4714,3838,1812,2026,private,England
2022-02-22,7171,3834,3337,1540,1797,private,England
2022-02-23,6380,3402,2978,1282,1696,private,England
2022-02-24,5281,2777,2504,935,1569,private,England
2022-02-25,4667,2564,2103,774,1329,private,England
