date,total_cases,sgtf_unknown,total_sgt,sgtf,non_sgtf,source,region
2021-11-15,21176,8446,12730,9,12721,private,England
2021-11-16,19500,8513,10987,8,10979,private,England
2021-11-17,18947,8493,10454,2,10452,private,England
2021-11-18,18614,7880,10734,5,10729,private,England
2021-11-19,16913,7475,9438,9,9429,private,England
2021-11-20,14923,6539,8384,2,8382,private,England
2021-11-21,14565,6036,8529,9,8520,private,England
2021-11-22,21533,10006,11527,10,11517,private,England
2021-11-23,20720,9241,11479,4,11475,private,England
2021-11-24,19930,9762,10168,6,10162,private,England
2021-11-25,18736,7893,10843,13,10830,private,England
2021-11-26,17197,8468,8729,18,8711,private,England
2021-11-27,14001,7208,6793,8,6785,private,England
2021-11-28,15441,7606,7835,7,7828,private,England
2021-11-29,23747,11497,12250,22,12228,private,England
2021-11-30,23911,11962,11949,35,11914,private,England
2021-12-01,23944,11995,11949,60,11889,private,England
2021-12-02,21699,11336,10363,69,10294,private,England
2021-12-03,19990,10114,9876,94,9782,private,England
2021-12-04,16597,8420,8177,112,8065,private,England
2021-12-05,16130,7604,8526,188,8338,private,England
2021-12-06,25084,14314,10770,433,10337,private,England
2021-12-07,24298,13200,11098,923,10175,private,England
2021-12-08,25409,14204,11205,1419,9786,private,England
2021-12-09,24952,12816,12136,1955,10181,private,England
2021-12-10,22928,8974,13954,2798,11156,private,England
2021-12-11,20621,10354,10267,2184,8083,private,England
2021-12-12,20960,10167,10793,3396,7397,private,England
2021-12-13,35002,18896,16106,6515,9591,private,England
2021-12-14,42497,23121,19376,10790,8586,private,England
2021-12-15,51138,28160,22978,14728,8250,private,England
2021-12-16,49370,25553,23817,16145,7672,private,England
2021-12-17,44377,22859,21518,14967,6551,private,England
2021-12-18,40717,20532,20185,14826,5359,private,England
2021-12-19,38784,19525,19259,14713,4546,private,England
2021-12-20,60167,31547,28620,23065,5555,private,England
2021-12-21,67458,32452,35006,30006,5000,private,England
2021-12-22,72412,32393,40019,35542,4477,private,England
2021-12-23,72923,36956,35967,32185,3782,private,England
2021-12-24,62546,30375,32171,29074,3097,private,England
2021-12-25,25467,10745,14722,13631,1091,private,England
2021-12-26,46221,19859,26362,24599,1763,private,England
2021-12-27,78126,39053,39073,36611,2462,private,England
2021-12-28,81037,41775,39262,37413,1849,private,England
2021-12-29,109926,59077,50849,48343,2506,private,England
2021-12-30,93469,43031,50438,48842,1596,private,England
2021-12-31,73470,33282,40188,39134,1054,private,England
2022-01-01,43513,17502,26011,25347,664,private,England
2022-01-02,75122,32406,42716,41676,1040,private,England
2022-01-03,94606,42157,52449,51338,1111,private,England
2022-01-04,123869,62034,61835,60592,1243,private,England
2022-01-05,92267,39069,53198,52283,915,private,England
2022-01-06,77506,35483,42023,41374,649,private,England
2022-01-07,48781,23338,25443,25030,413,private,England
2022-01-08,34104,17012,17092,16822,270,private,England
2022-01-09,30077,13069,17008,16772,236,private,England
2022-01-10,47330,20244,27086,26674,412,private,England
2022-01-11,35654,15297,20357,20061,296,private,England
2022-01-12,29463,13817,15646,15422,224,private,England
2022-01-13,26691,12112,14579,14360,219,private,England
2022-01-14,22455,10690,11765,11607,158,private,England
2022-01-15,18144,7704,10440,10242,198,private,England
2022-01-16,17795,7105,10690,10454,236,private,England
2022-01-17,30454,14285,16169,15835,334,private,England
2022-01-18,27607,12524,15083,14729,354,private,England
2022-01-19,25938,11129,14809,14401,408,private,England
2022-01-20,23099,10476,12623,12233,390,private,England
2022-01-21,21365,11034,10331,10025,306,private,England
2022-01-22,17717,9560,8157,7831,326,private,England
2022-01-23,17659,9589,8070,7727,343,private,England
2022-01-24,28839,15581,13258,12593,665,private,England
2022-01-25,25923,13671,12252,11502,750,private,England
2022-01-26,25393,13840,11553,10800,753,private,England
2022-01-27,22382,12452,9930,9184,746,private,England
2022-01-28,19487,10556,8931,8174,757,private,England
2022-01-29,15632,8364,7268,6566,702,private,England
2022-01-30,14760,7656,7104,6341,763,private,England
2022-01-31,23126,13157,9969,8899,1070,private,England
2022-02-01,20601,12040,8561,7556,1005,private,England
2022-02-02,19939,11833,8106,7078,1028,private,England
2022-02-03,18036,10872,7164,6209,955,private,England
2022-02-04,14814,9089,5725,4869,856,private,England
2022-02-05,10921,6072,4849,3933,916,private,England
2022-02-06,9544,4927,4617,3759,858,private,England
2022-02-07,17200,10092,7108,5617,1491,private,England
2022-02-08,14892,9241,5651,4392,1259,private,England
2022-02-09,14015,8837,5178,3856,1322,private,England
2022-02-10,11321,7073,4248,3068,1180,private,England
2022-02-11,9278,5735,3543,2573,970,private,England
2022-02-12,6832,4124,2708,1849,859,private,England
2022-02-13,5742,2776,2966,1971,995,private,England
2022-02-14,11080,4846,6234,3941,2293,private,England
2022-02-15,9562,5465,4097,2462,1635,private,England
2022-02-16,9881,5336,4545,2649,1896,private,England
2022-02-17,8807,4692,4115,2364,1751,private,England
2022-02-18,3844,1671,2173,1278,895,private,England
2022-02-19,6902,3727,3175,1549,1626,private,England
2022-02-20,5222,2923,2299,1080,1219,private,England
2022-02-21,8572,4720,3852,1818,2034,private,England
2022-02-22,7251,3857,3394,1562,1832,private,England
2022-02-23,6491,3425,3066,1314,1752,private,England
2022-02-24,5351,2799,2552,955,1597,private,England
2022-02-25,4680,2569,2111,777,1334,private,England
