age_group,date,variable,q5,q20,q50,q80,q95,type,stratification,gt_type,gt_diff,source,region
0-14,2021-12-07,pp_voc_R[16],2.483436,2.908988,3.5077,4.271898,5.3968445,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-07,pp_voc_R[17],2.2711555,2.711368,3.319605,4.116258,5.176844,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-07,pp_voc_R[18],2.30818,2.780084,3.423075,4.270636,5.504698,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-07,pp_voc_R[19],2.3173515,2.699766,3.22615,3.955924,4.848416,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-08,pp_voc_R[20],2.321724,2.732224,3.27181,3.98645,4.902721,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-08,pp_voc_R[21],2.096262,2.437344,2.9069,3.577242,4.419147,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-08,pp_voc_R[22],2.155138,2.5586,3.103785,3.802088,4.760867,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-08,pp_voc_R[23],2.129424,2.45365,2.894545,3.466754,4.174412,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-08,pp_voc_R[24],1.927516,2.248392,2.68658,3.287978,4.067718,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-09,pp_voc_R[25],2.3216975,2.732134,3.26732,3.970876,4.8972805,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-09,pp_voc_R[26],2.089162,2.429114,2.92519,3.520012,4.3435615,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-09,pp_voc_R[27],2.177198,2.546168,3.092585,3.804872,4.758514,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-09,pp_voc_R[28],2.132638,2.469928,2.896845,3.477858,4.247812,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-09,pp_voc_R[29],1.9047165,2.246164,2.698705,3.291566,4.08692,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-10,pp_voc_R[30],2.3289625,2.726668,3.26253,3.983076,4.9537015,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-10,pp_voc_R[31],2.1008455,2.457242,2.93104,3.580018,4.3532795,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-10,pp_voc_R[32],2.157784,2.533874,3.08868,3.827284,4.7070285,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-10,pp_voc_R[33],2.124781,2.456844,2.886435,3.45403,4.2343755,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-10,pp_voc_R[34],1.904749,2.227898,2.697695,3.294596,4.065359,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-11,pp_voc_R[35],1.824481,2.097716,2.46734,2.939682,3.6055205,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-11,pp_voc_R[36],2.2270235,2.58202,3.04586,3.69075,4.4821445,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-11,pp_voc_R[37],2.09855,2.42109,2.844485,3.374988,4.080269,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-11,pp_voc_R[38],1.9533385,2.214498,2.56974,3.009138,3.6069605,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-11,pp_voc_R[39],1.9189315,2.27302,2.745665,3.350768,4.1172775,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-12,pp_voc_R[40],1.832596,2.109546,2.485235,2.94934,3.545876,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-12,pp_voc_R[41],2.18709,2.55675,3.064575,3.700608,4.4991825,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-12,pp_voc_R[42],2.008562,2.295392,2.66812,3.132242,3.7149655,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-12,pp_voc_R[43],1.8748535,2.102206,2.413465,2.792196,3.269274,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-12,pp_voc_R[44],1.8242485,2.14915,2.555365,3.091498,3.826986,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-13,pp_voc_R[45],1.7240865,1.982848,2.3118,2.724966,3.215262,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-13,pp_voc_R[46],2.1523455,2.486912,2.92546,3.470044,4.1545315,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-13,pp_voc_R[47],2.0056615,2.297998,2.667285,3.143082,3.7139365,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-13,pp_voc_R[48],1.863211,2.098792,2.406285,2.810016,3.3352415,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-13,pp_voc_R[49],1.7954065,2.126994,2.566005,3.120152,3.8488475,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-13,pp_voc_R[50],1.744659,2.15563,2.71989,3.481376,4.4655775,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-14,pp_voc_R[51],1.5078255,1.70291,1.955985,2.255762,2.653959,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-14,pp_voc_R[52],1.2652025,1.42792,1.61897,1.870866,2.1899865,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-14,pp_voc_R[53],1.1835355,1.321702,1.497695,1.706594,1.9624285,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-14,pp_voc_R[54],1.4176695,1.5649,1.76091,2.008382,2.314988,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-14,pp_voc_R[55],1.791379,2.055422,2.43375,2.894154,3.462885,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-14,pp_voc_R[56],1.875518,2.298574,2.84406,3.619354,4.546347,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-15,pp_voc_R[57],1.505786,1.70147,1.95849,2.2788,2.6676415,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-15,pp_voc_R[58],1.2746645,1.422016,1.617085,1.870622,2.17118,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-15,pp_voc_R[59],1.1808655,1.31809,1.49181,1.708762,1.9835255,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-15,pp_voc_R[60],1.4146245,1.572584,1.76633,2.016516,2.3093775,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-15,pp_voc_R[61],1.7870085,2.056396,2.43557,2.914982,3.5332655,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-15,pp_voc_R[62],1.8823665,2.288576,2.845905,3.577582,4.574786,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-16,pp_voc_R[63],1.300498,1.47039,1.67491,1.909034,2.207383,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-16,pp_voc_R[64],1.1546755,1.3104,1.489045,1.704146,1.961895,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-16,pp_voc_R[65],1.092272,1.225184,1.3745,1.551736,1.748466,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-16,pp_voc_R[66],1.269733,1.410932,1.58794,1.781904,2.0280515,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-16,pp_voc_R[67],1.5281595,1.757506,2.04361,2.41166,2.8600085,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-16,pp_voc_R[68],1.5953995,1.963884,2.43452,3.031872,3.854571,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-17,pp_voc_R[69],1.005135,1.133262,1.29327,1.47475,1.667321,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-17,pp_voc_R[70],0.9873326,1.10332,1.243055,1.404754,1.615658,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-17,pp_voc_R[71],1.0945215,1.209844,1.34538,1.502752,1.6886065,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-17,pp_voc_R[72],1.111239,1.227458,1.364685,1.526222,1.725439,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-17,pp_voc_R[73],1.1738255,1.38051,1.64293,1.971062,2.342768,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-17,pp_voc_R[74],1.411291,1.734876,2.14165,2.654976,3.2838955,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-18,pp_voc_R[75],1.0166105,1.142756,1.3007,1.478766,1.6731345,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-18,pp_voc_R[76],0.9727014,1.098986,1.246665,1.41483,1.6077485,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-18,pp_voc_R[77],1.0895225,1.213188,1.350545,1.503216,1.6795845,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-18,pp_voc_R[78],1.1106995,1.227734,1.364495,1.522964,1.720762,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-18,pp_voc_R[79],1.1604255,1.389866,1.663345,2.001604,2.3921115,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-18,pp_voc_R[80],1.4427125,1.744764,2.163905,2.66877,3.3427385,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-19,pp_voc_R[81],1.0119595,1.13472,1.295755,1.477124,1.6886255,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-19,pp_voc_R[82],0.972878,1.10006,1.242405,1.411424,1.6201605,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-19,pp_voc_R[83],1.097206,1.21338,1.343565,1.50257,1.702569,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-19,pp_voc_R[84],1.1107875,1.226466,1.368915,1.533296,1.7304325,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-19,pp_voc_R[85],1.1763855,1.386508,1.652655,1.986392,2.390364,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-19,pp_voc_R[86],1.4130605,1.74395,2.16305,2.665906,3.3399485,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-20,pp_voc_R[87],1.130738,1.262592,1.424865,1.605816,1.8224925,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-20,pp_voc_R[88],1.0879595,1.232102,1.393565,1.589236,1.8142425,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-20,pp_voc_R[89],1.116506,1.238094,1.376325,1.540382,1.7318205,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-20,pp_voc_R[90],1.108233,1.232298,1.37855,1.543978,1.758671,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-20,pp_voc_R[91],1.3134975,1.54034,1.81632,2.170598,2.609468,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-20,pp_voc_R[92],0.8727645,1.222848,1.7266,2.412986,3.3069525,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-21,pp_voc_R[93],1.1438695,1.272758,1.4251,1.616386,1.827585,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-21,pp_voc_R[94],1.0929015,1.221784,1.386225,1.574848,1.8096205,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-21,pp_voc_R[95],1.119408,1.24073,1.376435,1.538834,1.739469,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-21,pp_voc_R[96],1.1072895,1.235268,1.37956,1.548294,1.753613,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-21,pp_voc_R[97],1.3103595,1.54368,1.82621,2.179524,2.586906,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-21,pp_voc_R[98],0.8714284,1.244096,1.7508,2.384672,3.220438,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-22,pp_voc_R[99],1.135278,1.266022,1.42372,1.613092,1.8536245,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-22,pp_voc_R[100],1.0872685,1.229264,1.391115,1.584544,1.8059825,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-22,pp_voc_R[101],1.1167745,1.23839,1.378245,1.542552,1.736283,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-22,pp_voc_R[102],1.1043015,1.236722,1.373715,1.53955,1.7295875,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-22,pp_voc_R[103],1.314799,1.541664,1.82514,2.189334,2.6254195,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-22,pp_voc_R[104],0.8773046,1.225788,1.7176,2.372878,3.270562,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-23,pp_voc_R[105],1.1328975,1.26847,1.428495,1.608112,1.832081,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-23,pp_voc_R[106],1.099862,1.224816,1.384105,1.581192,1.809639,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-23,pp_voc_R[107],1.1236835,1.24403,1.382305,1.536916,1.737275,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-23,pp_voc_R[108],1.110145,1.231946,1.381085,1.55066,1.764879,Posterior prediction,age,household,TRUE,sequence,
60-74,2021-12-23,pp_voc_R[109],1.3189875,1.552624,1.831935,2.17035,2.591626,Posterior prediction,age,household,TRUE,sequence,
75+,2021-12-23,pp_voc_R[110],0.835413,1.247638,1.731295,2.413258,3.225886,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-02,pp_voc_R[1],3.8067205,4.653694,5.890775,7.44915,9.6469425,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-03,pp_voc_R[2],3.811502,4.67,5.831525,7.440528,9.678763,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-03,pp_voc_R[3],3.301448,4.227802,5.548525,7.413542,9.847581,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-03,pp_voc_R[4],3.241806,4.04152,5.175215,6.706832,8.9558425,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-04,pp_voc_R[5],3.8380605,4.663478,5.81716,7.387328,9.5145435,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-04,pp_voc_R[6],3.26304,4.223578,5.581325,7.481218,10.230785,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-04,pp_voc_R[7],3.2141525,4.037748,5.16071,6.701316,8.7667125,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-05,pp_voc_R[8],3.860137,4.67747,5.823475,7.269238,9.35275399999999,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-05,pp_voc_R[9],3.4560295,4.292086,5.41812,7.01007,9.0399125,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-05,pp_voc_R[10],3.485809,4.433128,5.659705,7.363774,9.833782,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-05,pp_voc_R[11],3.4745875,4.23066,5.207035,6.599004,8.292761,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-06,pp_voc_R[12],3.948785,4.734862,5.83909,7.333874,9.256015,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-06,pp_voc_R[13],3.461215,4.26745,5.379155,6.941164,9.157474,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-06,pp_voc_R[14],3.481457,4.402292,5.69771,7.51138,9.897866,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-06,pp_voc_R[15],3.5231265,4.224856,5.20014,6.612958,8.3294845,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-07,pp_voc_R[16],3.8977315,4.727,5.816495,7.2826,9.344485,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-07,pp_voc_R[17],3.5012875,4.25478,5.39883,6.926458,8.9851405,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-07,pp_voc_R[18],3.459368,4.44024,5.699435,7.518384,9.83021699999999,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-07,pp_voc_R[19],3.476302,4.21286,5.219025,6.54603,8.261672,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-08,pp_voc_R[20],3.5515865,4.305226,5.300895,6.682384,8.491933,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-08,pp_voc_R[21],2.998787,3.660504,4.53144,5.70324,7.0836155,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-08,pp_voc_R[22],3.164158,3.931584,4.948695,6.367884,8.17047,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-08,pp_voc_R[23],3.1059405,3.689598,4.48296,5.555844,7.081307,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-08,pp_voc_R[24],2.593212,3.212718,4.047695,5.19524,6.639268,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-09,pp_voc_R[25],3.554228,4.27265,5.28391,6.649076,8.440032,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-09,pp_voc_R[26],3.0145215,3.667534,4.536215,5.667348,7.108014,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-09,pp_voc_R[27],3.1375345,3.903722,4.952115,6.341074,8.039578,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-09,pp_voc_R[28],3.103573,3.709904,4.48222,5.5236,6.91681299999999,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-09,pp_voc_R[29],2.59338,3.195132,4.01942,5.1259,6.5471445,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-10,pp_voc_R[30],3.518136,4.275828,5.30831,6.677874,8.372158,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-10,pp_voc_R[31],3.0212035,3.658222,4.538345,5.682434,7.266523,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-10,pp_voc_R[32],3.1493045,3.920476,4.923025,6.28462,8.097548,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-10,pp_voc_R[33],3.1399365,3.72208,4.52524,5.515436,6.900744,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-10,pp_voc_R[34],2.6002195,3.218962,4.03604,5.168388,6.6697345,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-11,pp_voc_R[35],2.401772,2.90761,3.55873,4.43343,5.5514155,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-11,pp_voc_R[36],3.3223635,3.981136,4.88822,6.109124,7.616142,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-11,pp_voc_R[37],3.03632,3.641662,4.4114,5.396212,6.7390275,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-11,pp_voc_R[38],2.715389,3.191934,3.79663,4.607804,5.600814,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-11,pp_voc_R[39],2.6472365,3.296728,4.17635,5.344942,6.9172305,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-12,pp_voc_R[40],2.440265,2.94701,3.607535,4.47426,5.549117,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-12,pp_voc_R[41],3.29719,3.987946,4.88341,6.129794,7.7391615,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-12,pp_voc_R[42],2.901015,3.447684,4.11914,4.996294,6.0980955,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-12,pp_voc_R[43],2.5766495,2.989808,3.548625,4.20522,5.0516165,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-12,pp_voc_R[44],2.4448265,3.097346,3.875575,4.857266,6.156516,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-13,pp_voc_R[45],2.2769655,2.737618,3.342215,4.090768,5.019596,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-13,pp_voc_R[46],3.180267,3.826596,4.65143,5.679064,7.0243235,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-13,pp_voc_R[47],2.887765,3.423084,4.12486,4.961496,6.1121245,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-13,pp_voc_R[48],2.5735155,3.021538,3.575115,4.27022,5.073515,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-13,pp_voc_R[49],2.4309335,3.055498,3.896445,4.95389,6.2217955,Posterior prediction,age,intrinsic,TRUE,sequence,
75+,2021-12-13,pp_voc_R[50],2.329919,3.19219,4.279905,5.74055,7.7629305,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-14,pp_voc_R[51],1.827146,2.179024,2.60996,3.125092,3.786825,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-14,pp_voc_R[52],1.3799065,1.627578,1.95436,2.355058,2.8146815,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-14,pp_voc_R[53],1.2640035,1.46584,1.746655,2.078006,2.4868705,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-14,pp_voc_R[54],1.660386,1.923384,2.240365,2.649184,3.1858165,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-14,pp_voc_R[55],2.367231,2.875034,3.548045,4.41953,5.545416,Posterior prediction,age,intrinsic,TRUE,sequence,
75+,2021-12-14,pp_voc_R[56],2.5102715,3.401546,4.499,6.015604,7.816035,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-15,pp_voc_R[57],1.8377275,2.171828,2.59813,3.130914,3.771604,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-15,pp_voc_R[58],1.3790215,1.628668,1.949295,2.339432,2.829842,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-15,pp_voc_R[59],1.2503085,1.468356,1.734575,2.073906,2.4909055,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-15,pp_voc_R[60],1.6661575,1.91866,2.246575,2.649302,3.144956,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-15,pp_voc_R[61],2.376959,2.880078,3.5513,4.434938,5.542791,Posterior prediction,age,intrinsic,TRUE,sequence,
75+,2021-12-15,pp_voc_R[62],2.5220795,3.383646,4.49,5.993744,8.057294,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-16,pp_voc_R[63],1.5026345,1.79912,2.142305,2.544734,3.042935,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-16,pp_voc_R[64],1.256308,1.492038,1.767385,2.12471,2.522137,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-16,pp_voc_R[65],1.1394755,1.34713,1.579155,1.8521,2.20422,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-16,pp_voc_R[66],1.447588,1.683034,1.96742,2.303902,2.6910245,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-16,pp_voc_R[67],1.889518,2.326856,2.865595,3.543974,4.345351,Posterior prediction,age,intrinsic,TRUE,sequence,
75+,2021-12-16,pp_voc_R[68],2.041295,2.762162,3.67648,4.816452,6.34682549999999,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-17,pp_voc_R[69],1.017048,1.218154,1.4674,1.761458,2.0868565,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-17,pp_voc_R[70],0.97944075,1.147218,1.359355,1.616446,1.920968,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-17,pp_voc_R[71],1.1356345,1.32614,1.53443,1.781644,2.073094,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-17,pp_voc_R[72],1.171247,1.36492,1.579905,1.832014,2.1134925,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-17,pp_voc_R[73],1.281874,1.64016,2.07698,2.662828,3.404468,Posterior prediction,age,intrinsic,TRUE,sequence,
75+,2021-12-17,pp_voc_R[74],1.696736,2.2483,3.011435,4.001654,5.2321275,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-18,pp_voc_R[75],1.0045245,1.222704,1.463675,1.755256,2.0752015,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-18,pp_voc_R[76],0.97273945,1.162118,1.37059,1.613302,1.914442,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-18,pp_voc_R[77],1.14896,1.329816,1.542645,1.78407,2.066156,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-18,pp_voc_R[78],1.199096,1.371468,1.578475,1.825206,2.108987,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-18,pp_voc_R[79],1.2709345,1.607172,2.074075,2.64734,3.389737,Posterior prediction,age,intrinsic,TRUE,sequence,
75+,2021-12-18,pp_voc_R[80],1.7079965,2.264792,3.005615,3.962612,5.172337,Posterior prediction,age,intrinsic,TRUE,sequence,
0-14,2021-12-19,pp_voc_R[81],1.0050465,1.211678,1.455035,1.742162,2.053078,Posterior prediction,age,intrinsic,TRUE,sequence,
15-29,2021-12-19,pp_voc_R[82],0.95785275,1.130402,1.355975,1.617284,1.898036,Posterior prediction,age,intrinsic,TRUE,sequence,
30-44,2021-12-19,pp_voc_R[83],1.1390025,1.328534,1.53679,1.784766,2.0815795,Posterior prediction,age,intrinsic,TRUE,sequence,
45-59,2021-12-19,pp_voc_R[84],1.181293,1.364514,1.582765,1.836242,2.1296035,Posterior prediction,age,intrinsic,TRUE,sequence,
60-74,2021-12-19,pp_voc_R[85],1.294484,1.628436,2.05533,2.64712,3.3625385,Posterior prediction,age,intrinsic,TRUE,sequence,
75+,2021-12-19,pp_voc_R[86],1.7153345,2.251226,2.98768,3.951062,5.168673,Posterior prediction,age,intrinsic,TRUE,sequence,
