age_group,date,variable,q5,q20,q50,q80,q95,type,stratification,gt_type,gt_diff,source,region
15-29,2021-12-02,pp_voc_R[1],2.4647005,2.878536,3.500845,4.304386,5.43810249999999,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-03,pp_voc_R[2],2.435087,2.886886,3.49299,4.329772,5.4917295,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-03,pp_voc_R[3],2.245831,2.692402,3.376135,4.340832,5.7102495,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-03,pp_voc_R[4],2.2037145,2.619608,3.20492,3.95988,4.9831475,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-04,pp_voc_R[5],2.4144935,2.870632,3.515095,4.32057,5.45974,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-04,pp_voc_R[6],2.2281585,2.697428,3.380805,4.28552,5.575699,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-04,pp_voc_R[7],2.1796365,2.62976,3.215945,4.019674,5.102781,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-05,pp_voc_R[8],2.5050685,2.900754,3.50066,4.26707,5.3585745,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-05,pp_voc_R[9],2.3070925,2.745034,3.31784,4.068326,5.1586815,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-05,pp_voc_R[10],2.343327,2.766014,3.42101,4.364932,5.5142425,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-05,pp_voc_R[11],2.3105,2.722122,3.227785,3.94789,4.9219175,Posterior prediction,age,household,TRUE,sequence,
0-14,2021-12-06,pp_voc_R[12],2.472812,2.913294,3.47514,4.286176,5.2271135,Posterior prediction,age,household,TRUE,sequence,
15-29,2021-12-06,pp_voc_R[13],2.2925035,2.72665,3.31329,4.083458,5.226158,Posterior prediction,age,household,TRUE,sequence,
30-44,2021-12-06,pp_voc_R[14],2.3150785,2.791496,3.41435,4.311172,5.6257875,Posterior prediction,age,household,TRUE,sequence,
45-59,2021-12-06,pp_voc_R[15],2.3101985,2.692954,3.229015,3.92104,4.8922705,Posterior prediction,age,household,TRUE,sequence,
